AssessmentIndDefinition.Name,AssessmentIndDefinitionId,Id,RegulatoryCode.RegulatoryAuthorityId,RegulatoryCodeId,ExternalId__c,ExternalId__c Reg Code,ExternalId__c (Assessment Indicator Definition)
A registrant must ensure that the assisted living residence  is maintained at a safe and comfortable temperature for residents.,0eubZ00000001FeQAI,0fMbZ00000000jOUAQ,19pbZ00000002kzQAA,0fCbZ00000000pqUAA,S 17.1.b,S 17.1.b,S 17.1.b
A registrant must ensure that the assisted living residence is well-ventilated and has sufficient lighting in units and common areas.,0eubZ00000001FfQAI,0fMbZ00000000jPUAQ,19pbZ00000002kzQAA,0fCbZ00000000prUAA,S 17.1.c ,S 17.1.c ,S 17.1.c 
A registrant must ensure that the assisted living residence  has sufficient social and recreational space for residents.,0eubZ00000001FgQAI,0fMbZ00000000jQUAQ,19pbZ00000002kzQAA,0fCbZ00000000psUAA,S 17.1.d,S 17.1.d,S 17.1.d
"A registrant must ensure that residents requiring mobility aids may access, in a manner appropriate to each resident, all areas intended for use by residents.",0eubZ00000001FhQAI,0fMbZ00000000jRUAQ,19pbZ00000002kzQAA,0fCbZ00000000ptUAA,S 17.2,S 17.2,S 17.2
A registrant must ensure  with respect to the assisted living residence that the premises conforms to all enactments relevant to building alterations or occupancy limits.,0eubZ00000001FiQAI,0fMbZ00000000jSUAQ,19pbZ00000002kzQAA,0fCbZ00000000puUAA,S 17.3.a ,S 17.3.a ,S 17.3.a 
A registrant must ensure the following with respect to the assisted living residence that each unit is or includes a bedroom that has both a door and a window.,0eubZ00000001FjQAI,0fMbZ00000000jTUAQ,19pbZ00000002kzQAA,0fCbZ00000000pvUAA,S 17.3.b ,S 17.3.b ,S 17.3.b 
A registrant must ensure that furniture and equipment provided in common areas and units meet resident needs and capabilities.,0eubZ00000001FkQAI,0fMbZ00000000jUUAQ,19pbZ00000002kzQAA,0fCbZ00000000pwUAA,S 18.1.a ,S 18.1.a ,S 18.1.a 
A registrant must ensure that furniture and equipment provided in common areas and units are compatible with the health and safety of residents.,0eubZ00000001FlQAI,0fMbZ00000000jVUAQ,19pbZ00000002kzQAA,0fCbZ00000000pxUAA,S 18.1.b ,S 18.1.b ,S 18.1.b 
A registrant must ensure that furniture and equipment provided in common areas and units are in a state of good repair.,0eubZ00000001FmQAI,0fMbZ00000000jWUAQ,19pbZ00000002kzQAA,0fCbZ00000000pyUAA,S 18.1.c ,S 18.1.c ,S 18.1.c 
"Registrant MH or SN class must provide, in each resident's unit, a lockable device for the resident to securely store money and personal property.",0eubZ00000001FnQAI,0fMbZ00000000jXUAQ,19pbZ00000002kzQAA,0fCbZ00000000pzUAA,S 18.2.a ,S 18.2.a ,S 18.2.a 
"Registrant MH or SN class must provide, in each resident's unit, a lockable device for resident’s use to securely store money and personal property & permit furniture/equip and personal property unless it would jeopardize the H&S of others.",0eubZ00000001FoQAI,0fMbZ00000000jYUAQ,19pbZ00000002kzQAA,0fCbZ00000000q0UAA,S 18.2.b ,S 18.2.b ,S 18.2.b 
A registrant must ensure that the assisted living residence is secured in a manner that protects residents from entry by unauthorized persons.,0eubZ00000001FpQAI,0fMbZ00000000jZUAQ,19pbZ00000002kzQAA,0fCbZ00000000q1UAA,S 19.1 ,S 19.1 ,S 19.1 
"A registrant must ensure that units are accessible in an emergency, including that locked units may be unlocked from the outside.",0eubZ00000001FqQAI,0fMbZ00000000jaUAA,19pbZ00000002kzQAA,0fCbZ00000000q2UAA,S 19.2 ,S 19.2 ,S 19.2 
A registrant who operates an assisted living residence of the Seniors and Persons with Disabilities class must ensure that residents may lock their own units.,0eubZ00000001FrQAI,0fMbZ00000000jbUAA,19pbZ00000002kzQAA,0fCbZ00000000q3UAA,S 19.3.a ,S 19.3.a ,S 19.3.a 
"A registrant who operates an assisted living residence of the Seniors and Persons with Disabilities class must ensure that residents may lock their own units that, subject to subsection (2), residents may control access to their own units.",0eubZ00000001FsQAI,0fMbZ00000000jcUAA,19pbZ00000002kzQAA,0fCbZ00000000q4UAA,S 19.3.b ,S 19.3.b ,S 19.3.b 
A registrant must ensure that emergency exits and egress windows are not obstructed or secured in a manner that may hinder exit in an emergency.,0eubZ00000001FtQAI,0fMbZ00000000jdUAA,19pbZ00000002kzQAA,0fCbZ00000000q5UAA,S 19.4 ,S 19.4 ,S 19.4 
A registrant must not permit a weapon within the meaning of the Criminal Code in the assisted living residence.,0eubZ00000001FuQAI,0fMbZ00000000jeUAA,19pbZ00000002kzQAA,0fCbZ00000000q6UAA,S 19.5 ,S 19.5 ,S 19.5 
"At all times, sufficient number of employees with adequate training, experience, skills & qualifications to provide hospitality services & AL services to residents in accordance with the registrant's registration.",0eubZ00000001FvQAI,0fMbZ00000000jfUAA,19pbZ00000002kzQAA,0fCbZ00000000q7UAA,S 20.1.a ,S 20.1.a ,S 20.1.a 
"At all times, sufficient number of employees with adequate training, experience, skills & qualifications to provide hospitality services & AL services to residents in a manner that will not jeopardize the health and safety of residents.",0eubZ00000001FwQAI,0fMbZ00000000jgUAA,19pbZ00000002kzQAA,0fCbZ00000000q8UAA,S 20.1.b ,S 20.1.b ,S 20.1.b 
"A registrant must prepare an employee plan that includes a written description of the  the duties and responsibilities of the employee for each employee position, whether volunteer or staff.",0eubZ00000001FxQAI,0fMbZ00000000jhUAA,19pbZ00000002kzQAA,0fCbZ00000000q9UAA,S 21.1.a ,S 21.1.a ,S 21.1.a 
"A registrant must prepare an employee plan that includes a written description of all of the training, experience, skills and other qualifications the employee must have, for each employee position, whether volunteer or staff.",0eubZ00000001FyQAI,0fMbZ00000000jiUAA,19pbZ00000002kzQAA,0fCbZ00000000qAUAQ,S 21.1.b ,S 21.1.b ,S 21.1.b 
"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, has first obtained a criminal record check for the person.",0eubZ00000001FzQAI,0fMbZ00000000jjUAA,19pbZ00000002kzQAA,0fCbZ00000000qBUAQ,S 22.1.a.i ,S 22.1.a.i ,S 22.1.a.i 
"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, has first obtained a record of the person's work history.",0eubZ00000001G0QAI,0fMbZ00000000jkUAA,19pbZ00000002kzQAA,0fCbZ00000000qCUAQ,S 22.1.a.ii ,S 22.1.a.ii ,S 22.1.a.ii 
"Subject to subsections (2) & (3), a registrant must not employ a person in an AL residence unless the registrant or manager, has first obtained copies of any diplomas, certificates or other evidence of training, experience, skills, & other qualifications.",0eubZ00000001G1QAI,0fMbZ00000000jlUAA,19pbZ00000002kzQAA,0fCbZ00000000qDUAQ,S 22.1.a.iii ,S 22.1.a.iii ,S 22.1.a.iii 
"Subject to subsections (2) & (3), must not employ a person in an AL residence unless the registrant or manager, has first obtained copies of diplomas, certificates or other evidence of the person's training, experience, skills, & other qualifications.",0eubZ00000001G2QAI,0fMbZ00000000jmUAA,19pbZ00000002kzQAA,0fCbZ00000000qEUAQ,S 22.1.a.iv ,S 22.1.a.iv ,S 22.1.a.iv 
"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, is satisfied that the person is of good character.",0eubZ00000001G3QAI,0fMbZ00000000jnUAA,19pbZ00000002kzQAA,0fCbZ00000000qFUAQ,S 22.1.b.i ,S 22.1.b.i ,S 22.1.b.i 
"Subject to subsections (2) and (3), registrant must not employ a person in an AL residence unless the registrant or manager, is satisfied that the person has the personality, ability and temperament necessary to provide services to residents",0eubZ00000001G4QAI,0fMbZ00000000joUAA,19pbZ00000002kzQAA,0fCbZ00000000qGUAQ,S 22.1.b.ii ,S 22.1.b.ii ,S 22.1.b.ii 
"Subject to subsections (2) & (3), must not employ a person in an AL Res unless the registrant or manager is satisfied the person has the training, experience ,qualifications & demonstrates skills, necessary to the assigned duties & responsibilities.",0eubZ00000001G5QAI,0fMbZ00000000jpUAA,19pbZ00000002kzQAA,0fCbZ00000000qHUAQ,S 22.1.b.iii ,S 22.1.b.iii ,S 22.1.b.iii 
Registrant may employ a person without meeting subsection (1) (a) (ii) and (iii) and (b) if the registrant or manager has first met with the person and obtained a CRC and at least 2 character references.,0eubZ00000001G6QAI,0fMbZ00000000jqUAA,19pbZ00000002kzQAA,0fCbZ00000000qIUAQ,S 22.2.a ,S 22.2.a ,S 22.2.a 
"A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if the person will be a volunteer, and.",0eubZ00000001G7QAI,0fMbZ00000000jrUAA,19pbZ00000002kzQAA,0fCbZ00000000qJUAQ,S 22.2.b ,S 22.2.b ,S 22.2.b 
A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if  the person will not be responsible for  managing the provision of hospitality services to residents.,0eubZ00000001G8QAI,0fMbZ00000000jsUAA,19pbZ00000002kzQAA,0fCbZ00000000qKUAQ,S 22.2.c.i ,S 22.2.c.i ,S 22.2.c.i 
A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if the person will not be responsible for  managing or providing assisted living services to residents.,0eubZ00000001G9QAI,0fMbZ00000000jtUAA,19pbZ00000002kzQAA,0fCbZ00000000qLUAQ,S 22.2.c.ii ,S 22.2.c.ii ,S 22.2.c.ii 
A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if  the person will not be responsible for monitoring the health and safety of residents or the operation of the assisted living residence.,0eubZ00000001GAQAY,0fMbZ00000000juUAA,19pbZ00000002kzQAA,0fCbZ00000000qMUAQ,S 22.2.c.iii ,S 22.2.c.iii ,S 22.2.c.iii 
A registrant may employ a person without meeting the requirements of subsection (1) if  the person is providing hospitality services or assisted living services under a contract between the registrant and another person.,0eubZ00000001GBQAY,0fMbZ00000000jvUAA,19pbZ00000002kzQAA,0fCbZ00000000qNUAQ,S 22.3.a ,S 22.3.a ,S 22.3.a 
A registrant may employ a person without meeting the requirements of subsection (1) if  the person with whom the registrant has contracted is not an individual.,0eubZ00000001GCQAY,0fMbZ00000000jwUAA,19pbZ00000002kzQAA,0fCbZ00000000qOUAQ,S 22.3.b ,S 22.3.b ,S 22.3.b 
"Registrant may employ without meeting subsection (1) if  has a contract, letter or written assurance that the other person has the information & is satisfied of the matters referred to in subsection (1) in respect of the person providing services.",0eubZ00000001GDQAY,0fMbZ00000000jxUAA,19pbZ00000002kzQAA,0fCbZ00000000qPUAQ,S 22.3.c ,S 22.3.c ,S 22.3.c 
A person employed as a manager must not be a volunteer.,0eubZ00000001GEQAY,0fMbZ00000000jyUAA,19pbZ00000002kzQAA,0fCbZ00000000qQUAQ,S 22.4 ,S 22.4 ,S 22.4 
"Without limiting section 22 (1) [character & skill requirements], Registrant of  AL residence of SU class must not employ a person unless the person has completed a course, or a combination of courses, of at least 20 hrs duration in counselling.",0eubZ00000001GFQAY,0fMbZ00000000jzUAA,19pbZ00000002kzQAA,0fCbZ00000000qRUAQ,S 23.1a ,S 23.1a ,S 23.1a 
"Without limiting section 22 (1) [character & skill requirements], Registrant who operates an AL residence of SU class must not employ unless completed a course, or combination of courses, of at least 20 hrs duration in crisis intervention & conflict res.",0eubZ00000001GGQAY,0fMbZ00000000k0UAA,19pbZ00000002kzQAA,0fCbZ00000000qSUAQ,S 23.1b ,S 23.1b ,S 23.1b 
"Without limiting section 22 (1) [character & skill requirements], Registrant  of AL Res of SU class must not employ a person unless the person has completed a course, or combo of courses, of 20 hrs in psychosocial intervention for substance use disorders.",0eubZ00000001GHQAY,0fMbZ00000000k1UAA,19pbZ00000002kzQAA,0fCbZ00000000qTUAQ,S 23.1c ,S 23.1c ,S 23.1c 
"Without limiting section 22 (1) [character & skill requirements],Registrant of AL Res of SU class must not employ a person unless the person has completed a course, or a combination of courses, of at least 20 hrs in trauma-informed practice.",0eubZ00000001GIQAY,0fMbZ00000000k2UAA,19pbZ00000002kzQAA,0fCbZ00000000qUUAQ,S 23.1d ,S 23.1d ,S 23.1d 
"Despite subsection (1), a registrant may employ a person who does not meet the requirements of that subsectionif the person will be a volunteer to whom section 22 (2) applies, or",0eubZ00000001GJQAY,0fMbZ00000000k3UAA,19pbZ00000002kzQAA,0fCbZ00000000qVUAQ,S 23.2a ,S 23.2a ,S 23.2a 
"Despite subsection (1), a registrant may employ a person who does not meet the requirements of that subsectionif the person is employed for a period of no more than 3 month.",0eubZ00000001GKQAY,0fMbZ00000000k4UAA,19pbZ00000002kzQAA,0fCbZ00000000qWUAQ,S 23.2b.i ,S 23.2b.i ,S 23.2b.i 
"Despite subsection (1), Registrant may employ a person who does not meet the requirements of that subsection if a written plan is made describing how the person will complete, within  3 month period, the course requirements referred to in that subsection.",0eubZ00000001GLQAY,0fMbZ00000000k5UAA,19pbZ00000002kzQAA,0fCbZ00000000qXUAQ,S 23.2b.ii ,S 23.2b.ii ,S 23.2b.ii 
"Despite subsection (1), Registrant may employ a person not meeting requirements of that subsection if the person is not re-employed by the registrant unless the person has completed course requirements within the plan referred to in subparagraph (ii).",0eubZ00000001GMQAY,0fMbZ00000000k6UAA,19pbZ00000002kzQAA,0fCbZ00000000qYUAQ,S 23.2b.iii ,S 23.2b.iii ,S 23.2b.iii 
A registrant must ensure that the performance of each employee is reviewed regularly.,0eubZ00000001GNQAY,0fMbZ00000000k7UAA,19pbZ00000002kzQAA,0fCbZ00000000qZUAQ,S 24.1.a,S 24.1.a,S 24.1.a
A registrant must ensure that the registrant or manager is satisfied that the employee demonstrates the skills needed to carry out the duties that the employee is assigned.,0eubZ00000001GOQAY,0fMbZ00000000k8UAA,19pbZ00000002kzQAA,0fCbZ00000000qaUAA,S 24.1.b,S 24.1.b,S 24.1.b
"Employee to whom section 22 (3) applies, registrant must have a contract, letter or written assurance that the person the registrant has contracted conducts the reviews& is satisfied of matters referred to in subsection (1) in respect of the employee.",0eubZ00000001GPQAY,0fMbZ00000000k9UAA,19pbZ00000002kzQAA,0fCbZ00000000qbUAA,S 24.2,S 24.2,S 24.2
"A registrant must not permit an employee to carry out any duties for which the employee does not have the necessary training, experience, skills or qualifications.",0eubZ00000001GQQAY,0fMbZ00000000kAUAQ,19pbZ00000002kzQAA,0fCbZ00000000qcUAA,S 24.3,S 24.3,S 24.3
"A registrant must make an emergency response plan that describes the procedures to be followed to prepare for, mitigate, respond to and recover from an emergency at the assisted living residence",0eubZ00000001GRQAY,0fMbZ00000000kBUAQ,19pbZ00000002kzQAA,0fCbZ00000000qdUAA,S 25.1.a ,S 25.1.a ,S 25.1.a 
A registrant must make an emergency response plan that describes the procedures to be followed to conduct emergency drills and the frequency with which they will be held.,0eubZ00000001GSQAY,0fMbZ00000000kCUAQ,19pbZ00000002kzQAA,0fCbZ00000000qeUAA,S 25.1.b ,S 25.1.b ,S 25.1.b 
A registrant must make an emergency response plan that describes the procedures to be followed to evacuate residents in an emergency including any supports residents require to evacuate or move to a safer location,0eubZ00000001GTQAY,0fMbZ00000000kDUAQ,19pbZ00000002kzQAA,0fCbZ00000000qfUAA,S 25.1.c ,S 25.1.c ,S 25.1.c 
A registrant must make an emergency response plan that describes a plan to ensure that residents continue to receive adequate hospitality services and assisted living services during and following an emergency.,0eubZ00000001GUQAY,0fMbZ00000000kEUAQ,19pbZ00000002kzQAA,0fCbZ00000000qgUAA,S 25.1.d ,S 25.1.d ,S 25.1.d 
"An emergency response plan must be reviewed and, if appropriate, revised if there is a structural change to the assisted living residence.",0eubZ00000001GVQAY,0fMbZ00000000kFUAQ,19pbZ00000002kzQAA,0fCbZ00000000qhUAA,S 25.2.a ,S 25.2.a ,S 25.2.a 
"An emergency response plan must be reviewed and, if appropriate, revised if  the support requirements of residents change significantly.",0eubZ00000001GWQAY,0fMbZ00000000kGUAQ,19pbZ00000002kzQAA,0fCbZ00000000qiUAA,S 25.2.b ,S 25.2.b ,S 25.2.b 
"Registrant must ensure all employees, other than a volunteer to whom section 22 (2) [character and skill requirements] applies, are trained in the implementation of the emergency response plan, including in the use of equipment referred to in the plan.",0eubZ00000001GXQAY,0fMbZ00000000kHUAQ,19pbZ00000002kzQAA,0fCbZ00000000qjUAA,S 25.3 ,S 25.3 ,S 25.3 
A registrant must display prominently throughout the assisted living residence evacuation procedures and a diagram of the location of emergency exits.,0eubZ00000001GYQAY,0fMbZ00000000kIUAQ,19pbZ00000002kzQAA,0fCbZ00000000qkUAA,S 26.1 ,S 26.1 ,S 26.1 
A registrant must ensure that the assisted living residence has emergency exits and egress windows that are appropriate to resident needs and capabilities.,0eubZ00000001GZQAY,0fMbZ00000000kJUAQ,19pbZ00000002kzQAA,0fCbZ00000000qlUAA,S 26.2 ,S 26.2 ,S 26.2 
A registrant must ensure that reliable communication equipment is accessible to all employees during an emergency.,0eubZ00000001GaQAI,0fMbZ00000000kKUAQ,19pbZ00000002kzQAA,0fCbZ00000000qmUAA,S 26.3 ,S 26.3 ,S 26.3 
"A registrant must ensure that fire protection equipment is inspected, tested and maintained, in accordance with the recommendations, if any, of the manufacture.",0eubZ00000001GbQAI,0fMbZ00000000kLUAQ,19pbZ00000002kzQAA,0fCbZ00000000qnUAA,S 26.4.a.i ,S 26.4.a.i ,S 26.4.a.i 
"A registrant must ensure that fire protection equipment is inspected, tested and maintained  at least annually.",0eubZ00000001GcQAI,0fMbZ00000000kMUAQ,19pbZ00000002kzQAA,0fCbZ00000000qoUAA,S 26.4.a.ii ,S 26.4.a.ii ,S 26.4.a.ii 
"A registrant must ensure that other emergency equipment is inspected, tested and maintained in accordance with the recommendations, if any, of the manufacturer.",0eubZ00000001GdQAI,0fMbZ00000000kNUAQ,19pbZ00000002kzQAA,0fCbZ00000000qpUAA,S 26.4.b ,S 26.4.b ,S 26.4.b 
A registrant must conduct fire and other emergency drills at least annually.,0eubZ00000001GeQAI,0fMbZ00000000kOUAQ,19pbZ00000002kzQAA,0fCbZ00000000qqUAA,S 26.5 ,S 26.5 ,S 26.5 
"A registrant must ensure that, at all times, an employee who holds a valid first aid and CPR certificate, provided on completing a course that meets the requirements of Schedule B, is readily accessible to residents.",0eubZ00000001GfQAI,0fMbZ00000000kPUAQ,19pbZ00000002kzQAA,0fCbZ00000000qrUAA,S 27.1 ,S 27.1 ,S 27.1 
A registrant must have first aid supplies readily accessible to all employees.,0eubZ00000001GgQAI,0fMbZ00000000kQUAQ,19pbZ00000002kzQAA,0fCbZ00000000qsUAA,S 27.2 ,S 27.2 ,S 27.2 
This section applies only to registrants operating an assisted living residence of the Supportive Recovery class.,0eubZ00000001GhQAI,0fMbZ00000000kRUAQ,19pbZ00000002kzQAA,0fCbZ00000000qtUAA,S 28.1.a ,S 28.1.a ,S 28.1.a 
"This section applies only to registrants operating an assisted living residence of the Mental Health or Seniors and Persons with Disabilities class, if residents are at risk of experiencing opioid overdoses.",0eubZ00000001GiQAI,0fMbZ00000000kSUAQ,19pbZ00000002kzQAA,0fCbZ00000000quUAA,S 28.1.b ,S 28.1.b ,S 28.1.b 
A registrant must make a plan describing the procedures to be followed to prevent and respond to opioid overdoses by residents.,0eubZ00000001GjQAI,0fMbZ00000000kTUAQ,19pbZ00000002kzQAA,0fCbZ00000000qvUAA,S 28.2 ,S 28.2 ,S 28.2 
"Without limiting section 27 [first aid], a registrant must ensure all of the following: that naloxone and related supplies are readily accessible to all employees and residents.",0eubZ00000001GkQAI,0fMbZ00000000kUUAQ,19pbZ00000002kzQAA,0fCbZ00000000qwUAA,S 28.3.a ,S 28.3.a ,S 28.3.a 
"Without limiting section 27 [first aid], a registrant must ensure all of the following: that all employees are trained in how to administer naloxone.",0eubZ00000001GlQAI,0fMbZ00000000kVUAQ,19pbZ00000002kzQAA,0fCbZ00000000qxUAA,S 28.3.b ,S 28.3.b ,S 28.3.b 
"Without limiting section 27 [first aid], a registrant must ensure all of the following: that all residents are given information respecting how to administer naloxone.",0eubZ00000001GmQAI,0fMbZ00000000kWUAQ,19pbZ00000002kzQAA,0fCbZ00000000qyUAA,S 28.3.c ,S 28.3.c ,S 28.3.c 
"Before accepting a person as a resident, a registrant must first be satisfied, that the person does not require care.",0eubZ00000001GnQAI,0fMbZ00000000kXUAQ,19pbZ00000002kzQAA,0fCbZ00000000qzUAA,S 29.1.a ,S 29.1.a ,S 29.1.a 
"Before accepting a person as a resident, Registrant must first be satisfied, that the person is not prohibited, under section 26.1 [persons not allowed to reside in an assisted living residence] of the Act, from residing in the assisted living residence.",0eubZ00000001GoQAI,0fMbZ00000000kYUAQ,19pbZ00000002kzQAA,0fCbZ00000000r0UAA,S 29.1.b ,S 29.1.b ,S 29.1.b 
"Before accepting a person as a resident, Registrant must first be satisfied, that the person may reside in the AL residence without jeopardizing the health and safety of that person or of any other resident, given that person's needs and capabilities.",0eubZ00000001GpQAI,0fMbZ00000000kZUAQ,19pbZ00000002kzQAA,0fCbZ00000000r1UAA,S 29.1.c.i ,S 29.1.c.i ,S 29.1.c.i 
"Before accepting a person as a resident, Registrant must first be satisfied, that the person may reside in the AL residence without jeopardizing the H&S of that person or of any other resident, given the AL services provided by or through the registrant.",0eubZ00000001GqQAI,0fMbZ00000000kaUAA,19pbZ00000002kzQAA,0fCbZ00000000r2UAA,S 29.1.c.ii ,S 29.1.c.ii ,S 29.1.c.ii 
"Before making a Res agreement, prospective resident must be given a copy of all of the following,& inform appro to person's needs & capabilities the contents of materials given: the shared common areas policy made under s.15 [if > one class or non-res]",0eubZ00000001GrQAI,0fMbZ00000000kbUAA,19pbZ00000002kzQAA,0fCbZ00000000r3UAA,S 30.1.a ,S 30.1.a ,S 30.1.a 
"Before making a res agreement, prospective resident must receive a copy of the following, & inform the prospective resident appro to person's needs & capabilities of the contents of materials given: the visitation & communication policy under s. 41 .2.",0eubZ00000001GsQAI,0fMbZ00000000kcUAA,19pbZ00000002kzQAA,0fCbZ00000000r4UAA,S 30.1.b ,S 30.1.b ,S 30.1.b 
"Before making a res agreement, prospective resident must receive a copy & be informed  appropriate to the person's needs & capabilities the contents of the materials given: the complaint policy under s. 43 .1.",0eubZ00000001GtQAI,0fMbZ00000000kdUAA,19pbZ00000002kzQAA,0fCbZ00000000r5UAA,S 30.1.c ,S 30.1.c ,S 30.1.c 
"Before making a res agreement, registrant must give prospective resident a copy of & inform the prospective resident appropriate to that person's needs & capabilities of the contents of the materials given: the end of residency policy made under s.44 .1.",0eubZ00000001GuQAI,0fMbZ00000000keUAA,19pbZ00000002kzQAA,0fCbZ00000000r6UAA,S 30.1.d ,S 30.1.d ,S 30.1.d 
"Before making a res agreement, registrant must give  the prospective resident a copy of & inform the prospective resident appropriate to that person's needs and capabilities of the contents of the materials given: the medication policy, if applicable.",0eubZ00000001GvQAI,0fMbZ00000000kfUAA,19pbZ00000002kzQAA,0fCbZ00000000r7UAA,S 30.1.e ,S 30.1.e ,S 30.1.e 
"Before making a residency agreement, Registrant must give to the prospective resident a copy of & inform the prospective resident appropriate to that person's needs & capabilities of the contents of materials given: cannabis policy made under s. 48 .3.",0eubZ00000001GwQAI,0fMbZ00000000kgUAA,19pbZ00000002kzQAA,0fCbZ00000000r8UAA,S 30.1.f ,S 30.1.f ,S 30.1.f 
A registrant may accept a person as a resident by making a written residency agreement with the person that includes all of the applicable content set out in Schedule C.,0eubZ00000001GxQAI,0fMbZ00000000khUAA,19pbZ00000002kzQAA,0fCbZ00000000r9UAA,S 31.1 ,S 31.1 ,S 31.1 
"Before making a residency agreement, a registrant must inform the prospective resident in a manner that is appropriate to that person's needs and capabilities of the contents of the agreement.",0eubZ00000001GyQAI,0fMbZ00000000kiUAA,19pbZ00000002kzQAA,0fCbZ00000000rAUAQ,S 31.2 ,S 31.2 ,S 31.2 
"On signing a residency agreement, a registrant must give to the resident a copy of the residency agreement.",0eubZ00000001GzQAI,0fMbZ00000000kjUAA,19pbZ00000002kzQAA,0fCbZ00000000rBUAQ,S 31.3.a ,S 31.3.a ,S 31.3.a 
"On signing a res agreement, registrant must give to the resident written information to contact the registrar to make a complaint,& the registrar's contact info, & inform the resident of the contents of materials given.",0eubZ00000001H0QAI,0fMbZ00000000kkUAA,19pbZ00000002kzQAA,0fCbZ00000000rCUAQ,S 31.3.b ,S 31.3.b ,S 31.3.b 
For the purposes of subsection .4 the resident or the resident's personal representative.,0eubZ00000001H1QAI,0fMbZ00000000klUAA,19pbZ00000002kzQAA,0fCbZ00000000rDUAQ,S 31.4.a ,S 31.4.a ,S 31.4.a 
