Description,EffectiveFrom,Id,Name,RegulatoryAuthority.Name,RegulatoryAuthorityId,Subject,ExternalId__c
"A registrant must not have more units, or house more residents, than is permitted under the registrant’s registration.",2023-11-06T17:00:00.000+0000,0fCbZ00000000pnUAA,S 16.1- Housing - Restrictions on housing,Ministry of Health,19pbZ00000002kzQAA,S 16.1- Housing - Restrictions on housing,S 16.1
A registrant must not house more residents in a unit than is consistent with protecting the health and safety of each resident.,2023-11-06T17:00:00.000+0000,0fCbZ00000000poUAA,S 16.2- Housing - Restrictions on housing,Ministry of Health,19pbZ00000002kzQAA,S 16.2- Housing - Restrictions on housing,S 16.2
"A registrant must ensure that the assisted living residence is in a state of good repair and is safe, clean and free of hazards.",2023-11-06T17:00:00.000+0000,0fCbZ00000000ppUAA,S 17.1.a- Housing - Physical requirements,Ministry of Health,19pbZ00000002kzQAA,S 17.1.a- Housing - Physical requirements,S 17.1.a
A registrant must ensure that the assisted living residence  is maintained at a safe and comfortable temperature for residents.,2023-11-06T17:00:00.000+0000,0fCbZ00000000pqUAA,S 17.1.b- Housing - Physical requirements,Ministry of Health,19pbZ00000002kzQAA,S 17.1.b- Housing - Physical requirements,S 17.1.b
A registrant must ensure that the assisted living residence is well-ventilated and has sufficient lighting in units and common areas.,2023-11-06T17:00:00.000+0000,0fCbZ00000000prUAA,S 17.1.c - Housing - Physical requirements,Ministry of Health,19pbZ00000002kzQAA,S 17.1.c - Housing - Physical requirements,S 17.1.c 
A registrant must ensure that the assisted living residence  has sufficient social and recreational space for residents.,2023-11-06T17:00:00.000+0000,0fCbZ00000000psUAA,S 17.1.d- Housing - Physical requirements,Ministry of Health,19pbZ00000002kzQAA,S 17.1.d- Housing - Physical requirements,S 17.1.d
"A registrant must ensure that residents requiring mobility aids may access, in a manner appropriate to each resident, all areas intended for use by residents.",2023-11-06T17:00:00.000+0000,0fCbZ00000000ptUAA,S 17.2- Housing - Physical requirements,Ministry of Health,19pbZ00000002kzQAA,S 17.2- Housing - Physical requirements,S 17.2
A registrant must ensure  with respect to the assisted living residence that the premises conforms to all enactments relevant to building alterations or occupancy limits.,2023-11-06T17:00:00.000+0000,0fCbZ00000000puUAA,S 17.3.a - Housing - Physical requirements,Ministry of Health,19pbZ00000002kzQAA,S 17.3.a - Housing - Physical requirements,S 17.3.a 
A registrant must ensure the following with respect to the assisted living residence that each unit is or includes a bedroom that has both a door and a window.,2023-11-06T17:00:00.000+0000,0fCbZ00000000pvUAA,S 17.3.b - Housing - Physical requirements,Ministry of Health,19pbZ00000002kzQAA,S 17.3.b - Housing - Physical requirements,S 17.3.b 
A registrant must ensure that furniture and equipment provided in common areas and units meet resident needs and capabilities.,2023-11-06T17:00:00.000+0000,0fCbZ00000000pwUAA,S 18.1.a - Housing - Furniture and equipment,Ministry of Health,19pbZ00000002kzQAA,S 18.1.a - Housing - Furniture and equipment,S 18.1.a 
A registrant must ensure that furniture and equipment provided in common areas and units are compatible with the health and safety of residents.,2023-11-06T17:00:00.000+0000,0fCbZ00000000pxUAA,S 18.1.b - Housing - Furniture and equipment,Ministry of Health,19pbZ00000002kzQAA,S 18.1.b - Housing - Furniture and equipment,S 18.1.b 
A registrant must ensure that furniture and equipment provided in common areas and units are in a state of good repair.,2023-11-06T17:00:00.000+0000,0fCbZ00000000pyUAA,S 18.1.c - Housing - Furniture and equipment,Ministry of Health,19pbZ00000002kzQAA,S 18.1.c - Housing - Furniture and equipment,S 18.1.c 
"Registrant MH or SN class must provide, in each resident's unit, a lockable device for the resident to securely store money and personal property.",2023-11-06T17:00:00.000+0000,0fCbZ00000000pzUAA,S 18.2.a - Housing - Furniture and equipment,Ministry of Health,19pbZ00000002kzQAA,S 18.2.a - Housing - Furniture and equipment,S 18.2.a 
"Registrant MH or SN class must provide, in each resident's unit, a lockable device for resident’s use to securely store money and personal property & permit furniture/equip and personal property unless it would jeopardize the H&S of others.",2023-11-06T17:00:00.000+0000,0fCbZ00000000q0UAA,S 18.2.b - Housing - Furniture and equipment,Ministry of Health,19pbZ00000002kzQAA,S 18.2.b - Housing - Furniture and equipment,S 18.2.b 
A registrant must ensure that the assisted living residence is secured in a manner that protects residents from entry by unauthorized persons.,2023-11-06T17:00:00.000+0000,0fCbZ00000000q1UAA,S 19.1 - Housing - Safety,Ministry of Health,19pbZ00000002kzQAA,S 19.1 - Housing - Safety,S 19.1 
"A registrant must ensure that units are accessible in an emergency, including that locked units may be unlocked from the outside.",2023-11-06T17:00:00.000+0000,0fCbZ00000000q2UAA,S 19.2 - Housing - Safety,Ministry of Health,19pbZ00000002kzQAA,S 19.2 - Housing - Safety,S 19.2 
A registrant who operates an assisted living residence of the Seniors and Persons with Disabilities class must ensure that residents may lock their own units.,2023-11-06T17:00:00.000+0000,0fCbZ00000000q3UAA,S 19.3.a - Housing - Safety,Ministry of Health,19pbZ00000002kzQAA,S 19.3.a - Housing - Safety,S 19.3.a 
"A registrant who operates an assisted living residence of the Seniors and Persons with Disabilities class must ensure that residents may lock their own units that, subject to subsection (2), residents may control access to their own units.",2023-11-06T17:00:00.000+0000,0fCbZ00000000q4UAA,S 19.3.b - Housing - Safety,Ministry of Health,19pbZ00000002kzQAA,S 19.3.b - Housing - Safety,S 19.3.b 
A registrant must ensure that emergency exits and egress windows are not obstructed or secured in a manner that may hinder exit in an emergency.,2023-11-06T17:00:00.000+0000,0fCbZ00000000q5UAA,S 19.4 - Housing - Safety,Ministry of Health,19pbZ00000002kzQAA,S 19.4 - Housing - Safety,S 19.4 
A registrant must not permit a weapon within the meaning of the Criminal Code in the assisted living residence.,2023-11-06T17:00:00.000+0000,0fCbZ00000000q6UAA,S 19.5 - Housing - Safety,Ministry of Health,19pbZ00000002kzQAA,S 19.5 - Housing - Safety,S 19.5 
"At all times, sufficient number of employees with adequate training, experience, skills & qualifications to provide hospitality services & AL services to residents in accordance with the registrant's registration.",2023-11-06T17:00:00.000+0000,0fCbZ00000000q7UAA,S 20.1.a -  Employees - Must have sufficient employees,Ministry of Health,19pbZ00000002kzQAA,S 20.1.a -  Employees - Must have sufficient employees,S 20.1.a 
"At all times, sufficient number of employees with adequate training, experience, skills & qualifications to provide hospitality services & AL services to residents in a manner that will not jeopardize the health and safety of residents.",2023-11-06T17:00:00.000+0000,0fCbZ00000000q8UAA,S 20.1.b -  Employees - Must have sufficient employees,Ministry of Health,19pbZ00000002kzQAA,S 20.1.b -  Employees - Must have sufficient employees,S 20.1.b 
"A registrant must prepare an employee plan that includes a written description of the  the duties and responsibilities of the employee for each employee position, whether volunteer or staff.",2023-11-06T17:00:00.000+0000,0fCbZ00000000q9UAA,S 21.1.a -  Employees - Employee plan,Ministry of Health,19pbZ00000002kzQAA,S 21.1.a -  Employees - Employee plan,S 21.1.a 
"A registrant must prepare an employee plan that includes a written description of all of the training, experience, skills and other qualifications the employee must have, for each employee position, whether volunteer or staff.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qAUAQ,S 21.1.b -  Employees - Employee plan,Ministry of Health,19pbZ00000002kzQAA,S 21.1.b -  Employees - Employee plan,S 21.1.b 
"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, has first obtained a criminal record check for the person.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qBUAQ,S 22.1.a.i - Employees - Character and skill requirements,Ministry of Health,19pbZ00000002kzQAA,S 22.1.a.i - Employees - Character and skill requirements,S 22.1.a.i 
"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, has first obtained a record of the person's work history.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qCUAQ,S 22.1.a.ii - Employees - Character and skill requirements,Ministry of Health,19pbZ00000002kzQAA,S 22.1.a.ii - Employees - Character and skill requirements,S 22.1.a.ii 
"Subject to subsections (2) & (3), a registrant must not employ a person in an AL residence unless the registrant or manager, has first obtained copies of any diplomas, certificates or other evidence of training, experience, skills, & other qualifications.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qDUAQ,S 22.1.a.iii - Employees - Character and skill requirements,Ministry of Health,19pbZ00000002kzQAA,S 22.1.a.iii - Employees - Character and skill requirements,S 22.1.a.iii 
"Subject to subsections (2) & (3), must not employ a person in an AL residence unless the registrant or manager, has first obtained copies of diplomas, certificates or other evidence of the person's training, experience, skills, & other qualifications.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qEUAQ,S 22.1.a.iv - Employees - Character and skill requirements,Ministry of Health,19pbZ00000002kzQAA,S 22.1.a.iv - Employees - Character and skill requirements,S 22.1.a.iv 
"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, is satisfied that the person is of good character.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qFUAQ,S 22.1.b.i - Employees - Character and skill requirements,Ministry of Health,19pbZ00000002kzQAA,S 22.1.b.i - Employees - Character and skill requirements,S 22.1.b.i 
"Subject to subsections (2) and (3), registrant must not employ a person in an AL residence unless the registrant or manager, is satisfied that the person has the personality, ability and temperament necessary to provide services to residents",2023-11-06T17:00:00.000+0000,0fCbZ00000000qGUAQ,S 22.1.b.ii - Employees - Character and skill requirements,Ministry of Health,19pbZ00000002kzQAA,S 22.1.b.ii - Employees - Character and skill requirements,S 22.1.b.ii 
"Subject to subsections (2) & (3), must not employ a person in an AL Res unless the registrant or manager is satisfied the person has the training, experience ,qualifications & demonstrates skills, necessary to the assigned duties & responsibilities.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qHUAQ,S 22.1.b.iii - Employees - Character and skill requirements,Ministry of Health,19pbZ00000002kzQAA,S 22.1.b.iii - Employees - Character and skill requirements,S 22.1.b.iii 
Registrant may employ a person without meeting subsection (1) (a) (ii) and (iii) and (b) if the registrant or manager has first met with the person and obtained a CRC and at least 2 character references.,2023-11-06T17:00:00.000+0000,0fCbZ00000000qIUAQ,S 22.2.a - Employees - Character and skill requirements,Ministry of Health,19pbZ00000002kzQAA,S 22.2.a - Employees - Character and skill requirements,S 22.2.a 
"A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if the person will be a volunteer, and.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qJUAQ,S 22.2.b - Employees - Character and skill requirements,Ministry of Health,19pbZ00000002kzQAA,S 22.2.b - Employees - Character and skill requirements,S 22.2.b 
A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if  the person will not be responsible for  managing the provision of hospitality services to residents.,2023-11-06T17:00:00.000+0000,0fCbZ00000000qKUAQ,S 22.2.c.i - Employees - Character and skill requirements,Ministry of Health,19pbZ00000002kzQAA,S 22.2.c.i - Employees - Character and skill requirements,S 22.2.c.i 
A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if the person will not be responsible for  managing or providing assisted living services to residents.,2023-11-06T17:00:00.000+0000,0fCbZ00000000qLUAQ,S 22.2.c.ii - Employees - Character and skill requirements,Ministry of Health,19pbZ00000002kzQAA,S 22.2.c.ii - Employees - Character and skill requirements,S 22.2.c.ii 
A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if  the person will not be responsible for monitoring the health and safety of residents or the operation of the assisted living residence.,2023-11-06T17:00:00.000+0000,0fCbZ00000000qMUAQ,S 22.2.c.iii - Employees - Character and skill requirements,Ministry of Health,19pbZ00000002kzQAA,S 22.2.c.iii - Employees - Character and skill requirements,S 22.2.c.iii 
A registrant may employ a person without meeting the requirements of subsection (1) if  the person is providing hospitality services or assisted living services under a contract between the registrant and another person.,2023-11-06T17:00:00.000+0000,0fCbZ00000000qNUAQ,S 22.3.a - Employees - Character and skill requirements,Ministry of Health,19pbZ00000002kzQAA,S 22.3.a - Employees - Character and skill requirements,S 22.3.a 
A registrant may employ a person without meeting the requirements of subsection (1) if  the person with whom the registrant has contracted is not an individual.,2023-11-06T17:00:00.000+0000,0fCbZ00000000qOUAQ,S 22.3.b - Employees - Character and skill requirements,Ministry of Health,19pbZ00000002kzQAA,S 22.3.b - Employees - Character and skill requirements,S 22.3.b 
"Registrant may employ without meeting subsection (1) if  has a contract, letter or written assurance that the other person has the information & is satisfied of the matters referred to in subsection (1) in respect of the person providing services.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qPUAQ,S 22.3.c - Employees - Character and skill requirements,Ministry of Health,19pbZ00000002kzQAA,S 22.3.c - Employees - Character and skill requirements,S 22.3.c 
A person employed as a manager must not be a volunteer.,2023-11-06T17:00:00.000+0000,0fCbZ00000000qQUAQ,S 22.4 - Employees - Character and skill requirements,Ministry of Health,19pbZ00000002kzQAA,S 22.4 - Employees - Character and skill requirements,S 22.4 
"Without limiting section 22 (1) [character & skill requirements], Registrant of  AL residence of SU class must not employ a person unless the person has completed a course, or a combination of courses, of at least 20 hrs duration in counselling.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qRUAQ,S 23.1a - Employees - Additional requirements for Supportive Recovery class,Ministry of Health,19pbZ00000002kzQAA,S 23.1a - Employees - Additional requirements for Supportive Recovery class,S 23.1a 
"Without limiting section 22 (1) [character & skill requirements], Registrant who operates an AL residence of SU class must not employ unless completed a course, or combination of courses, of at least 20 hrs duration in crisis intervention & conflict res.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qSUAQ,S 23.1b - Employees - Additional requirements for Supportive Recovery class,Ministry of Health,19pbZ00000002kzQAA,S 23.1b - Employees - Additional requirements for Supportive Recovery class,S 23.1b 
"Without limiting section 22 (1) [character & skill requirements], Registrant  of AL Res of SU class must not employ a person unless the person has completed a course, or combo of courses, of 20 hrs in psychosocial intervention for substance use disorders.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qTUAQ,S 23.1c - Employees - Additional requirements for Supportive Recovery class,Ministry of Health,19pbZ00000002kzQAA,S 23.1c - Employees - Additional requirements for Supportive Recovery class,S 23.1c 
"Without limiting section 22 (1) [character & skill requirements],Registrant of AL Res of SU class must not employ a person unless the person has completed a course, or a combination of courses, of at least 20 hrs in trauma-informed practice.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qUUAQ,S 23.1d - Employees - Additional requirements for Supportive Recovery class,Ministry of Health,19pbZ00000002kzQAA,S 23.1d - Employees - Additional requirements for Supportive Recovery class,S 23.1d 
"Despite subsection (1), a registrant may employ a person who does not meet the requirements of that subsectionif the person will be a volunteer to whom section 22 (2) applies, or",2023-11-06T17:00:00.000+0000,0fCbZ00000000qVUAQ,S 23.2a - Employees - Additional requirements for Supportive Recovery class,Ministry of Health,19pbZ00000002kzQAA,S 23.2a - Employees - Additional requirements for Supportive Recovery class,S 23.2a 
"Despite subsection (1), a registrant may employ a person who does not meet the requirements of that subsectionif the person is employed for a period of no more than 3 month.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qWUAQ,S 23.2b.i - Employees - Additional requirements for Supportive Recovery class,Ministry of Health,19pbZ00000002kzQAA,S 23.2b.i - Employees - Additional requirements for Supportive Recovery class,S 23.2b.i 
"Despite subsection (1), Registrant may employ a person who does not meet the requirements of that subsection if a written plan is made describing how the person will complete, within  3 month period, the course requirements referred to in that subsection.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qXUAQ,S 23.2b.ii - Employees - Additional requirements for Supportive Recovery class,Ministry of Health,19pbZ00000002kzQAA,S 23.2b.ii - Employees - Additional requirements for Supportive Recovery class,S 23.2b.ii 
"Despite subsection (1), Registrant may employ a person not meeting requirements of that subsection if the person is not re-employed by the registrant unless the person has completed course requirements within the plan referred to in subparagraph (ii).",2023-11-06T17:00:00.000+0000,0fCbZ00000000qYUAQ,S 23.2b.iii - Employees - Additional requirements for Supportive Recovery class,Ministry of Health,19pbZ00000002kzQAA,S 23.2b.iii - Employees - Additional requirements for Supportive Recovery class,S 23.2b.iii 
A registrant must ensure that the performance of each employee is reviewed regularly.,2023-11-06T17:00:00.000+0000,0fCbZ00000000qZUAQ,S 24.1.a- Employees - Continuing obligations,Ministry of Health,19pbZ00000002kzQAA,S 24.1.a- Employees - Continuing obligations,S 24.1.a
A registrant must ensure that the registrant or manager is satisfied that the employee demonstrates the skills needed to carry out the duties that the employee is assigned.,2023-11-06T17:00:00.000+0000,0fCbZ00000000qaUAA,S 24.1.b- Employees - Continuing obligations,Ministry of Health,19pbZ00000002kzQAA,S 24.1.b- Employees - Continuing obligations,S 24.1.b
"Employee to whom section 22 (3) applies, registrant must have a contract, letter or written assurance that the person the registrant has contracted conducts the reviews& is satisfied of matters referred to in subsection (1) in respect of the employee.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qbUAA,S 24.2- Employees - Continuing obligations,Ministry of Health,19pbZ00000002kzQAA,S 24.2- Employees - Continuing obligations,S 24.2
"A registrant must not permit an employee to carry out any duties for which the employee does not have the necessary training, experience, skills or qualifications.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qcUAA,S 24.3- Employees - Continuing obligations,Ministry of Health,19pbZ00000002kzQAA,S 24.3- Employees - Continuing obligations,S 24.3
"A registrant must make an emergency response plan that describes the procedures to be followed to prepare for, mitigate, respond to and recover from an emergency at the assisted living residence",2023-11-06T17:00:00.000+0000,0fCbZ00000000qdUAA,S 25.1.a - Emergency Preparedness - Emergency response plan,Ministry of Health,19pbZ00000002kzQAA,S 25.1.a - Emergency Preparedness - Emergency response plan,S 25.1.a 
A registrant must make an emergency response plan that describes the procedures to be followed to conduct emergency drills and the frequency with which they will be held.,2023-11-06T17:00:00.000+0000,0fCbZ00000000qeUAA,S 25.1.b - Emergency Preparedness - Emergency response plan,Ministry of Health,19pbZ00000002kzQAA,S 25.1.b - Emergency Preparedness - Emergency response plan,S 25.1.b 
A registrant must make an emergency response plan that describes the procedures to be followed to evacuate residents in an emergency including any supports residents require to evacuate or move to a safer location,2023-11-06T17:00:00.000+0000,0fCbZ00000000qfUAA,S 25.1.c - Emergency Preparedness - Emergency response plan,Ministry of Health,19pbZ00000002kzQAA,S 25.1.c - Emergency Preparedness - Emergency response plan,S 25.1.c 
A registrant must make an emergency response plan that describes a plan to ensure that residents continue to receive adequate hospitality services and assisted living services during and following an emergency.,2023-11-06T17:00:00.000+0000,0fCbZ00000000qgUAA,S 25.1.d - Emergency Preparedness - Emergency response plan,Ministry of Health,19pbZ00000002kzQAA,S 25.1.d - Emergency Preparedness - Emergency response plan,S 25.1.d 
"An emergency response plan must be reviewed and, if appropriate, revised if there is a structural change to the assisted living residence.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qhUAA,S 25.2.a - Emergency Preparedness - Emergency response plan,Ministry of Health,19pbZ00000002kzQAA,S 25.2.a - Emergency Preparedness - Emergency response plan,S 25.2.a 
"An emergency response plan must be reviewed and, if appropriate, revised if  the support requirements of residents change significantly.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qiUAA,S 25.2.b - Emergency Preparedness - Emergency response plan,Ministry of Health,19pbZ00000002kzQAA,S 25.2.b - Emergency Preparedness - Emergency response plan,S 25.2.b 
"Registrant must ensure all employees, other than a volunteer to whom section 22 (2) [character and skill requirements] applies, are trained in the implementation of the emergency response plan, including in the use of equipment referred to in the plan.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qjUAA,S 25.3 - Emergency Preparedness - Emergency response plan,Ministry of Health,19pbZ00000002kzQAA,S 25.3 - Emergency Preparedness - Emergency response plan,S 25.3 
A registrant must display prominently throughout the assisted living residence evacuation procedures and a diagram of the location of emergency exits.,2023-11-06T17:00:00.000+0000,0fCbZ00000000qkUAA,S 26.1 - Emergency Preparedness - Emergency measures,Ministry of Health,19pbZ00000002kzQAA,S 26.1 - Emergency Preparedness - Emergency measures,S 26.1 
A registrant must ensure that the assisted living residence has emergency exits and egress windows that are appropriate to resident needs and capabilities.,2023-11-06T17:00:00.000+0000,0fCbZ00000000qlUAA,S 26.2 - Emergency Preparedness - Emergency measures,Ministry of Health,19pbZ00000002kzQAA,S 26.2 - Emergency Preparedness - Emergency measures,S 26.2 
A registrant must ensure that reliable communication equipment is accessible to all employees during an emergency.,2023-11-06T17:00:00.000+0000,0fCbZ00000000qmUAA,S 26.3 - Emergency Preparedness - Emergency measures,Ministry of Health,19pbZ00000002kzQAA,S 26.3 - Emergency Preparedness - Emergency measures,S 26.3 
"A registrant must ensure that fire protection equipment is inspected, tested and maintained, in accordance with the recommendations, if any, of the manufacture.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qnUAA,S 26.4.a.i - Emergency Preparedness - Emergency measures,Ministry of Health,19pbZ00000002kzQAA,S 26.4.a.i - Emergency Preparedness - Emergency measures,S 26.4.a.i 
"A registrant must ensure that fire protection equipment is inspected, tested and maintained  at least annually.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qoUAA,S 26.4.a.ii - Emergency Preparedness - Emergency measures,Ministry of Health,19pbZ00000002kzQAA,S 26.4.a.ii - Emergency Preparedness - Emergency measures,S 26.4.a.ii 
"A registrant must ensure that other emergency equipment is inspected, tested and maintained in accordance with the recommendations, if any, of the manufacturer.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qpUAA,S 26.4.b - Emergency Preparedness - Emergency measures,Ministry of Health,19pbZ00000002kzQAA,S 26.4.b - Emergency Preparedness - Emergency measures,S 26.4.b 
A registrant must conduct fire and other emergency drills at least annually.,2023-11-06T17:00:00.000+0000,0fCbZ00000000qqUAA,S 26.5 - Emergency Preparedness - Emergency measures,Ministry of Health,19pbZ00000002kzQAA,S 26.5 - Emergency Preparedness - Emergency measures,S 26.5 
"A registrant must ensure that, at all times, an employee who holds a valid first aid and CPR certificate, provided on completing a course that meets the requirements of Schedule B, is readily accessible to residents.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qrUAA,S 27.1 - Emergency measures - First aid,Ministry of Health,19pbZ00000002kzQAA,S 27.1 - Emergency measures - First aid,S 27.1 
A registrant must have first aid supplies readily accessible to all employees.,2023-11-06T17:00:00.000+0000,0fCbZ00000000qsUAA,S 27.2 - Emergency measures - First aid,Ministry of Health,19pbZ00000002kzQAA,S 27.2 - Emergency measures - First aid,S 27.2 
This section applies only to registrants operating an assisted living residence of the Supportive Recovery class.,2023-11-06T17:00:00.000+0000,0fCbZ00000000qtUAA,S 28.1.a - Emergency measures - Opioid overdoses,Ministry of Health,19pbZ00000002kzQAA,S 28.1.a - Emergency measures - Opioid overdoses,S 28.1.a 
"This section applies only to registrants operating an assisted living residence of the Mental Health or Seniors and Persons with Disabilities class, if residents are at risk of experiencing opioid overdoses.",2023-11-06T17:00:00.000+0000,0fCbZ00000000quUAA,S 28.1.b - Emergency measures - Opioid overdoses,Ministry of Health,19pbZ00000002kzQAA,S 28.1.b - Emergency measures - Opioid overdoses,S 28.1.b 
A registrant must make a plan describing the procedures to be followed to prevent and respond to opioid overdoses by residents.,2023-11-06T17:00:00.000+0000,0fCbZ00000000qvUAA,S 28.2 - Emergency measures - Opioid overdoses,Ministry of Health,19pbZ00000002kzQAA,S 28.2 - Emergency measures - Opioid overdoses,S 28.2 
"Without limiting section 27 [first aid], a registrant must ensure all of the following: that naloxone and related supplies are readily accessible to all employees and residents.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qwUAA,S 28.3.a - Emergency measures - Opioid overdoses,Ministry of Health,19pbZ00000002kzQAA,S 28.3.a - Emergency measures - Opioid overdoses,S 28.3.a 
"Without limiting section 27 [first aid], a registrant must ensure all of the following: that all employees are trained in how to administer naloxone.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qxUAA,S 28.3.b - Emergency measures - Opioid overdoses,Ministry of Health,19pbZ00000002kzQAA,S 28.3.b - Emergency measures - Opioid overdoses,S 28.3.b 
"Without limiting section 27 [first aid], a registrant must ensure all of the following: that all residents are given information respecting how to administer naloxone.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qyUAA,S 28.3.c - Emergency measures - Opioid overdoses,Ministry of Health,19pbZ00000002kzQAA,S 28.3.c - Emergency measures - Opioid overdoses,S 28.3.c 
"Before accepting a person as a resident, a registrant must first be satisfied, that the person does not require care.",2023-11-06T17:00:00.000+0000,0fCbZ00000000qzUAA,S 29.1.a - Start of Residency - Admission screening,Ministry of Health,19pbZ00000002kzQAA,S 29.1.a - Start of Residency - Admission screening,S 29.1.a 
"Before accepting a person as a resident, Registrant must first be satisfied, that the person is not prohibited, under section 26.1 [persons not allowed to reside in an assisted living residence] of the Act, from residing in the assisted living residence.",2023-11-06T17:00:00.000+0000,0fCbZ00000000r0UAA,S 29.1.b - Start of Residency - Admission screening,Ministry of Health,19pbZ00000002kzQAA,S 29.1.b - Start of Residency - Admission screening,S 29.1.b 
