Category__c,DataType,Description,Errors,ExternalId__c,Id,Name
Housing,String,A registrant must ensure the following with respect to the assisted living residence that each unit is or includes a bedroom that has both a door and a window.,,S 17.3.b ,0euAq0000000Uj9IAE,A registrant must ensure the following with respect to the assisted living residence that each unit is or includes a bedroom that has both a door and a window.
Housing,String,A registrant must ensure that furniture and equipment provided in common areas and units meet resident needs and capabilities.,,S 18.1.a ,0euAq0000000UjAIAU,A registrant must ensure that furniture and equipment provided in common areas and units meet resident needs and capabilities.
Housing,String,A registrant must ensure that furniture and equipment provided in common areas and units are compatible with the health and safety of residents.,,S 18.1.b ,0euAq0000000UjBIAU,A registrant must ensure that furniture and equipment provided in common areas and units are compatible with the health and safety of residents.
Housing,String,A registrant must ensure that furniture and equipment provided in common areas and units are in a state of good repair.,,S 18.1.c ,0euAq0000000UjCIAU,A registrant must ensure that furniture and equipment provided in common areas and units are in a state of good repair.
Housing,String,"Registrant MH or SN class must provide, in each resident's unit, a lockable device for the resident to securely store money and personal property.",,S 18.2.a ,0euAq0000000UjDIAU,"Registrant MH or SN class must provide, in each resident's unit, a lockable device for the resident to securely store money and personal property."
Housing,String,"Registrant MH or SN class must provide, in each resident's unit, a lockable device for resident’s use to securely store money and personal property & permit furniture/equip and personal property unless it would jeopardize the H&S of others.",,S 18.2.b ,0euAq0000000UjEIAU,"Registrant MH or SN class must provide, in each resident's unit, a lockable device for resident’s use to securely store money and personal property & permit furniture/equip and personal property unless it would jeopardize the H&S of others."
Housing,String,A registrant must ensure that the assisted living residence is secured in a manner that protects residents from entry by unauthorized persons.,,S 19.1 ,0euAq0000000UjFIAU,A registrant must ensure that the assisted living residence is secured in a manner that protects residents from entry by unauthorized persons.
Housing,String,"A registrant must ensure that units are accessible in an emergency, including that locked units may be unlocked from the outside.",,S 19.2 ,0euAq0000000UjGIAU,"A registrant must ensure that units are accessible in an emergency, including that locked units may be unlocked from the outside."
Housing,String,A registrant who operates an assisted living residence of the Seniors and Persons with Disabilities class must ensure that residents may lock their own units.,,S 19.3.a ,0euAq0000000UjHIAU,A registrant who operates an assisted living residence of the Seniors and Persons with Disabilities class must ensure that residents may lock their own units.
Housing,String,"A registrant who operates an assisted living residence of the Seniors and Persons with Disabilities class must ensure that residents may lock their own units that, subject to subsection (2), residents may control access to their own units.",,S 19.3.b ,0euAq0000000UjIIAU,"A registrant who operates an assisted living residence of the Seniors and Persons with Disabilities class must ensure that residents may lock their own units that, subject to subsection (2), residents may control access to their own units."
Emergency Preparedness,String,A registrant must ensure that emergency exits and egress windows are not obstructed or secured in a manner that may hinder exit in an emergency.,,S 19.4 ,0euAq0000000UjJIAU,A registrant must ensure that emergency exits and egress windows are not obstructed or secured in a manner that may hinder exit in an emergency.
Housing,String,A registrant must not permit a weapon within the meaning of the Criminal Code in the assisted living residence.,,S 19.5 ,0euAq0000000UjKIAU,A registrant must not permit a weapon within the meaning of the Criminal Code in the assisted living residence.
Employees/Staff,String,"At all times, sufficient number of employees with adequate training, experience, skills & qualifications to provide hospitality services & AL services to residents in accordance with the registrant's registration.",,S 20.1.a ,0euAq0000000UjLIAU,"At all times, sufficient number of employees with adequate training, experience, skills & qualifications to provide hospitality services & AL services to residents in accordance with the registrant's registration."
Employees/Staff,String,"At all times, sufficient number of employees with adequate training, experience, skills & qualifications to provide hospitality services & AL services to residents in a manner that will not jeopardize the health and safety of residents.",,S 20.1.b ,0euAq0000000UjMIAU,"At all times, sufficient number of employees with adequate training, experience, skills & qualifications to provide hospitality services & AL services to residents in a manner that will not jeopardize the health and safety of residents."
Employees/Staff,String,"A registrant must prepare an employee plan that includes a written description of the  the duties and responsibilities of the employee for each employee position, whether volunteer or staff.",,S 21.1.a ,0euAq0000000UjNIAU,"A registrant must prepare an employee plan that includes a written description of the  the duties and responsibilities of the employee for each employee position, whether volunteer or staff."
Employees/Staff,String,"A registrant must prepare an employee plan that includes a written description of all of the training, experience, skills and other qualifications the employee must have, for each employee position, whether volunteer or staff.",,S 21.1.b ,0euAq0000000UjOIAU,"A registrant must prepare an employee plan that includes a written description of all of the training, experience, skills and other qualifications the employee must have, for each employee position, whether volunteer or staff."
Administrative and Other Matters,String,"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, has first obtained a criminal record check for the person.",,S 22.1.a.i ,0euAq0000000UjPIAU,"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, has first obtained a criminal record check for the person."
Administrative and Other Matters,String,"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, has first obtained a record of the person's work history.",,S 22.1.a.ii ,0euAq0000000UjQIAU,"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, has first obtained a record of the person's work history."
Administrative and Other Matters,String,"Subject to subsections (2) & (3), a registrant must not employ a person in an AL residence unless the registrant or manager, has first obtained copies of any diplomas, certificates or other evidence of training, experience, skills, & other qualifications.",,S 22.1.a.iii ,0euAq0000000UjRIAU,"Subject to subsections (2) & (3), a registrant must not employ a person in an AL residence unless the registrant or manager, has first obtained copies of any diplomas, certificates or other evidence of training, experience, skills, & other qualifications."
Administrative and Other Matters,String,"Subject to subsections (2) & (3), must not employ a person in an AL residence unless the registrant or manager, has first obtained copies of diplomas, certificates or other evidence of the person's training, experience, skills, & other qualifications.",,S 22.1.a.iv ,0euAq0000000UjSIAU,"Subject to subsections (2) & (3), must not employ a person in an AL residence unless the registrant or manager, has first obtained copies of diplomas, certificates or other evidence of the person's training, experience, skills, & other qualifications."
Administrative and Other Matters,String,"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, is satisfied that the person is of good character.",,S 22.1.b.i ,0euAq0000000UjTIAU,"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, is satisfied that the person is of good character."
Administrative and Other Matters,String,"Subject to subsections (2) and (3), registrant must not employ a person in an AL residence unless the registrant or manager, is satisfied that the person has the personality, ability and temperament necessary to provide services to residents",,S 22.1.b.ii ,0euAq0000000UjUIAU,"Subject to subsections (2) and (3), registrant must not employ a person in an AL residence unless the registrant or manager, is satisfied that the person has the personality, ability and temperament necessary to provide services to residents"
Administrative and Other Matters,String,"Subject to subsections (2) & (3), must not employ a person in an AL Res unless the registrant or manager is satisfied the person has the training, experience ,qualifications & demonstrates skills, necessary to the assigned duties & responsibilities.",,S 22.1.b.iii ,0euAq0000000UjVIAU,"Subject to subsections (2) & (3), must not employ a person in an AL Res unless the registrant or manager is satisfied the person has the training, experience ,qualifications & demonstrates skills, necessary to the assigned duties & responsibilities."
Administrative and Other Matters,String,Registrant may employ a person without meeting subsection (1) (a) (ii) and (iii) and (b) if the registrant or manager has first met with the person and obtained a CRC and at least 2 character references.,,S 22.2.a ,0euAq0000000UjWIAU,Registrant may employ a person without meeting subsection (1) (a) (ii) and (iii) and (b) if the registrant or manager has first met with the person and obtained a CRC and at least 2 character references.
Administrative and Other Matters,String,"A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if the person will be a volunteer, and.",,S 22.2.b ,0euAq0000000UjXIAU,"A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if the person will be a volunteer, and."
Administrative and Other Matters,String,A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if  the person will not be responsible for  managing the provision of hospitality services to residents.,,S 22.2.c.i ,0euAq0000000UjYIAU,A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if  the person will not be responsible for  managing the provision of hospitality services to residents.
Administrative and Other Matters,String,A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if the person will not be responsible for  managing or providing assisted living services to residents.,,S 22.2.c.ii ,0euAq0000000UjZIAU,A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if the person will not be responsible for  managing or providing assisted living services to residents.
Administrative and Other Matters,String,A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if  the person will not be responsible for monitoring the health and safety of residents or the operation of the assisted living residence.,,S 22.2.c.iii ,0euAq0000000UjaIAE,A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if  the person will not be responsible for monitoring the health and safety of residents or the operation of the assisted living residence.
Administrative and Other Matters,String,A registrant may employ a person without meeting the requirements of subsection (1) if  the person is providing hospitality services or assisted living services under a contract between the registrant and another person.,,S 22.3.a ,0euAq0000000UjbIAE,A registrant may employ a person without meeting the requirements of subsection (1) if  the person is providing hospitality services or assisted living services under a contract between the registrant and another person.
Administrative and Other Matters,String,A registrant may employ a person without meeting the requirements of subsection (1) if  the person with whom the registrant has contracted is not an individual.,,S 22.3.b ,0euAq0000000UjcIAE,A registrant may employ a person without meeting the requirements of subsection (1) if  the person with whom the registrant has contracted is not an individual.
Administrative and Other Matters,String,"Registrant may employ without meeting subsection (1) if  has a contract, letter or written assurance that the other person has the information & is satisfied of the matters referred to in subsection (1) in respect of the person providing services.",,S 22.3.c ,0euAq0000000UjdIAE,"Registrant may employ without meeting subsection (1) if  has a contract, letter or written assurance that the other person has the information & is satisfied of the matters referred to in subsection (1) in respect of the person providing services."
Administrative and Other Matters,String,A person employed as a manager must not be a volunteer.,,S 22.4 ,0euAq0000000UjeIAE,A person employed as a manager must not be a volunteer.
Administrative and Other Matters,String,"Without limiting section 22 (1) [character & skill requirements], Registrant of  AL residence of SU class must not employ a person unless the person has completed a course, or a combination of courses, of at least 20 hrs duration in counselling.",,S 23.1a ,0euAq0000000UjfIAE,"Without limiting section 22 (1) [character & skill requirements], Registrant of  AL residence of SU class must not employ a person unless the person has completed a course, or a combination of courses, of at least 20 hrs duration in counselling."
Administrative and Other Matters,String,"Without limiting section 22 (1) [character & skill requirements], Registrant who operates an AL residence of SU class must not employ unless completed a course, or combination of courses, of at least 20 hrs duration in crisis intervention & conflict res.",,S 23.1b ,0euAq0000000UjgIAE,"Without limiting section 22 (1) [character & skill requirements], Registrant who operates an AL residence of SU class must not employ unless completed a course, or combination of courses, of at least 20 hrs duration in crisis intervention & conflict res."
Administrative and Other Matters,String,"Without limiting section 22 (1) [character & skill requirements], Registrant  of AL Res of SU class must not employ a person unless the person has completed a course, or combo of courses, of 20 hrs in psychosocial intervention for substance use disorders.",,S 23.1c ,0euAq0000000UjhIAE,"Without limiting section 22 (1) [character & skill requirements], Registrant  of AL Res of SU class must not employ a person unless the person has completed a course, or combo of courses, of 20 hrs in psychosocial intervention for substance use disorders."
Administrative and Other Matters,String,"Without limiting section 22 (1) [character & skill requirements],Registrant of AL Res of SU class must not employ a person unless the person has completed a course, or a combination of courses, of at least 20 hrs in trauma-informed practice.",,S 23.1d ,0euAq0000000UjiIAE,"Without limiting section 22 (1) [character & skill requirements],Registrant of AL Res of SU class must not employ a person unless the person has completed a course, or a combination of courses, of at least 20 hrs in trauma-informed practice."
Administrative and Other Matters,String,"Despite subsection (1), a registrant may employ a person who does not meet the requirements of that subsectionif the person will be a volunteer to whom section 22 (2) applies, or",,S 23.2a ,0euAq0000000UjjIAE,"Despite subsection (1), a registrant may employ a person who does not meet the requirements of that subsectionif the person will be a volunteer to whom section 22 (2) applies, or"
Administrative and Other Matters,String,"Despite subsection (1), a registrant may employ a person who does not meet the requirements of that subsectionif the person is employed for a period of no more than 3 month.",,S 23.2b.i ,0euAq0000000UjkIAE,"Despite subsection (1), a registrant may employ a person who does not meet the requirements of that subsectionif the person is employed for a period of no more than 3 month."
Administrative and Other Matters,String,"Despite subsection (1), Registrant may employ a person who does not meet the requirements of that subsection if a written plan is made describing how the person will complete, within  3 month period, the course requirements referred to in that subsection.",,S 23.2b.ii ,0euAq0000000UjlIAE,"Despite subsection (1), Registrant may employ a person who does not meet the requirements of that subsection if a written plan is made describing how the person will complete, within  3 month period, the course requirements referred to in that subsection."
Administrative and Other Matters,String,"Despite subsection (1), Registrant may employ a person not meeting requirements of that subsection if the person is not re-employed by the registrant unless the person has completed course requirements within the plan referred to in subparagraph (ii).",,S 23.2b.iii ,0euAq0000000UjmIAE,"Despite subsection (1), Registrant may employ a person not meeting requirements of that subsection if the person is not re-employed by the registrant unless the person has completed course requirements within the plan referred to in subparagraph (ii)."
Administrative and Other Matters,String,A registrant must ensure that the performance of each employee is reviewed regularly.,,S 24.1.a,0euAq0000000UjnIAE,A registrant must ensure that the performance of each employee is reviewed regularly.
Administrative and Other Matters,String,A registrant must ensure that the registrant or manager is satisfied that the employee demonstrates the skills needed to carry out the duties that the employee is assigned.,,S 24.1.b,0euAq0000000UjoIAE,A registrant must ensure that the registrant or manager is satisfied that the employee demonstrates the skills needed to carry out the duties that the employee is assigned.
Administrative and Other Matters,String,"Employee to whom section 22 (3) applies, registrant must have a contract, letter or written assurance that the person the registrant has contracted conducts the reviews& is satisfied of matters referred to in subsection (1) in respect of the employee.",,S 24.2,0euAq0000000UjpIAE,"Employee to whom section 22 (3) applies, registrant must have a contract, letter or written assurance that the person the registrant has contracted conducts the reviews& is satisfied of matters referred to in subsection (1) in respect of the employee."
Employees/Staff,String,"A registrant must not permit an employee to carry out any duties for which the employee does not have the necessary training, experience, skills or qualifications.",,S 24.3,0euAq0000000UjqIAE,"A registrant must not permit an employee to carry out any duties for which the employee does not have the necessary training, experience, skills or qualifications."
Emergency Preparedness,String,"A registrant must make an emergency response plan that describes the procedures to be followed to prepare for, mitigate, respond to and recover from an emergency at the assisted living residence",,S 25.1.a ,0euAq0000000UjrIAE,"A registrant must make an emergency response plan that describes the procedures to be followed to prepare for, mitigate, respond to and recover from an emergency at the assisted living residence"
Emergency Preparedness,String,A registrant must make an emergency response plan that describes the procedures to be followed to conduct emergency drills and the frequency with which they will be held.,,S 25.1.b ,0euAq0000000UjsIAE,A registrant must make an emergency response plan that describes the procedures to be followed to conduct emergency drills and the frequency with which they will be held.
Emergency Preparedness,String,A registrant must make an emergency response plan that describes the procedures to be followed to evacuate residents in an emergency including any supports residents require to evacuate or move to a safer location,,S 25.1.c ,0euAq0000000UjtIAE,A registrant must make an emergency response plan that describes the procedures to be followed to evacuate residents in an emergency including any supports residents require to evacuate or move to a safer location
Emergency Preparedness,String,A registrant must make an emergency response plan that describes a plan to ensure that residents continue to receive adequate hospitality services and assisted living services during and following an emergency.,,S 25.1.d ,0euAq0000000UjuIAE,A registrant must make an emergency response plan that describes a plan to ensure that residents continue to receive adequate hospitality services and assisted living services during and following an emergency.
Emergency Preparedness,String,"An emergency response plan must be reviewed and, if appropriate, revised if there is a structural change to the assisted living residence.",,S 25.2.a ,0euAq0000000UjvIAE,"An emergency response plan must be reviewed and, if appropriate, revised if there is a structural change to the assisted living residence."
Emergency Preparedness,String,"An emergency response plan must be reviewed and, if appropriate, revised if  the support requirements of residents change significantly.",,S 25.2.b ,0euAq0000000UjwIAE,"An emergency response plan must be reviewed and, if appropriate, revised if  the support requirements of residents change significantly."
Emergency Preparedness,String,"Registrant must ensure all employees, other than a volunteer to whom section 22 (2) [character and skill requirements] applies, are trained in the implementation of the emergency response plan, including in the use of equipment referred to in the plan.",,S 25.3 ,0euAq0000000UjxIAE,"Registrant must ensure all employees, other than a volunteer to whom section 22 (2) [character and skill requirements] applies, are trained in the implementation of the emergency response plan, including in the use of equipment referred to in the plan."
Emergency Preparedness,String,A registrant must display prominently throughout the assisted living residence evacuation procedures and a diagram of the location of emergency exits.,,S 26.1 ,0euAq0000000UjyIAE,A registrant must display prominently throughout the assisted living residence evacuation procedures and a diagram of the location of emergency exits.
Emergency Preparedness,String,A registrant must ensure that the assisted living residence has emergency exits and egress windows that are appropriate to resident needs and capabilities.,,S 26.2 ,0euAq0000000UjzIAE,A registrant must ensure that the assisted living residence has emergency exits and egress windows that are appropriate to resident needs and capabilities.
Emergency Preparedness,String,A registrant must ensure that reliable communication equipment is accessible to all employees during an emergency.,,S 26.3 ,0euAq0000000Uk0IAE,A registrant must ensure that reliable communication equipment is accessible to all employees during an emergency.
Emergency Preparedness,String,"A registrant must ensure that fire protection equipment is inspected, tested and maintained, in accordance with the recommendations, if any, of the manufacture.",,S 26.4.a.i ,0euAq0000000Uk1IAE,"A registrant must ensure that fire protection equipment is inspected, tested and maintained, in accordance with the recommendations, if any, of the manufacture."
Emergency Preparedness,String,"A registrant must ensure that fire protection equipment is inspected, tested and maintained  at least annually.",,S 26.4.a.ii ,0euAq0000000Uk2IAE,"A registrant must ensure that fire protection equipment is inspected, tested and maintained  at least annually."
Emergency Preparedness,String,"A registrant must ensure that other emergency equipment is inspected, tested and maintained in accordance with the recommendations, if any, of the manufacturer.",,S 26.4.b ,0euAq0000000Uk3IAE,"A registrant must ensure that other emergency equipment is inspected, tested and maintained in accordance with the recommendations, if any, of the manufacturer."
Emergency Preparedness,String,A registrant must conduct fire and other emergency drills at least annually.,,S 26.5 ,0euAq0000000Uk4IAE,A registrant must conduct fire and other emergency drills at least annually.
Employees/Staff,String,"A registrant must ensure that, at all times, an employee who holds a valid first aid and CPR certificate, provided on completing a course that meets the requirements of Schedule B, is readily accessible to residents.",,S 27.1 ,0euAq0000000Uk5IAE,"A registrant must ensure that, at all times, an employee who holds a valid first aid and CPR certificate, provided on completing a course that meets the requirements of Schedule B, is readily accessible to residents."
Emergency Preparedness,String,A registrant must have first aid supplies readily accessible to all employees.,,S 27.2 ,0euAq0000000Uk6IAE,A registrant must have first aid supplies readily accessible to all employees.
Emergency Preparedness,String,This section applies only to registrants operating an assisted living residence of the Supportive Recovery class.,,S 28.1.a ,0euAq0000000Uk7IAE,This section applies only to registrants operating an assisted living residence of the Supportive Recovery class.
Emergency Preparedness,String,"This section applies only to registrants operating an assisted living residence of the Mental Health or Seniors and Persons with Disabilities class, if residents are at risk of experiencing opioid overdoses.",,S 28.1.b ,0euAq0000000Uk8IAE,"This section applies only to registrants operating an assisted living residence of the Mental Health or Seniors and Persons with Disabilities class, if residents are at risk of experiencing opioid overdoses."
Administrative and Other Matters,String,A registrant must make a plan describing the procedures to be followed to prevent and respond to opioid overdoses by residents.,,S 28.2 ,0euAq0000000Uk9IAE,A registrant must make a plan describing the procedures to be followed to prevent and respond to opioid overdoses by residents.
Emergency Preparedness,String,"Without limiting section 27 [first aid], a registrant must ensure all of the following: that naloxone and related supplies are readily accessible to all employees and residents.",,S 28.3.a ,0euAq0000000UkAIAU,"Without limiting section 27 [first aid], a registrant must ensure all of the following: that naloxone and related supplies are readily accessible to all employees and residents."
Employees/Staff,String,"Without limiting section 27 [first aid], a registrant must ensure all of the following: that all employees are trained in how to administer naloxone.",,S 28.3.b ,0euAq0000000UkBIAU,"Without limiting section 27 [first aid], a registrant must ensure all of the following: that all employees are trained in how to administer naloxone."
Emergency Preparedness,String,"Without limiting section 27 [first aid], a registrant must ensure all of the following: that all residents are given information respecting how to administer naloxone.",,S 28.3.c ,0euAq0000000UkCIAU,"Without limiting section 27 [first aid], a registrant must ensure all of the following: that all residents are given information respecting how to administer naloxone."
Planning and Support Agreements,String,"Before accepting a person as a resident, a registrant must first be satisfied, that the person does not require care.",,S 29.1.a ,0euAq0000000UkDIAU,"Before accepting a person as a resident, a registrant must first be satisfied, that the person does not require care."
Planning and Support Agreements,String,"Before accepting a person as a resident, Registrant must first be satisfied, that the person is not prohibited, under section 26.1 [persons not allowed to reside in an assisted living residence] of the Act, from residing in the assisted living residence.",,S 29.1.b ,0euAq0000000UkEIAU,"Before accepting a person as a resident, Registrant must first be satisfied, that the person is not prohibited, under section 26.1 [persons not allowed to reside in an assisted living residence] of the Act, from residing in the assisted living residence."
Planning and Support Agreements,String,"Before accepting a person as a resident, Registrant must first be satisfied, that the person may reside in the AL residence without jeopardizing the health and safety of that person or of any other resident, given that person's needs and capabilities.",,S 29.1.c.i ,0euAq0000000UkFIAU,"Before accepting a person as a resident, Registrant must first be satisfied, that the person may reside in the AL residence without jeopardizing the health and safety of that person or of any other resident, given that person's needs and capabilities."
Planning and Support Agreements,String,"Before accepting a person as a resident, Registrant must first be satisfied, that the person may reside in the AL residence without jeopardizing the H&S of that person or of any other resident, given the AL services provided by or through the registrant.",,S 29.1.c.ii ,0euAq0000000UkGIAU,"Before accepting a person as a resident, Registrant must first be satisfied, that the person may reside in the AL residence without jeopardizing the H&S of that person or of any other resident, given the AL services provided by or through the registrant."
Administrative and Other Matters,String,"Before making a Res agreement, prospective resident must be given a copy of all of the following,& inform appro to person's needs & capabilities the contents of materials given: the shared common areas policy made under s.15 [if > one class or non-res]",,S 30.1.a ,0euAq0000000UkHIAU,"Before making a Res agreement, prospective resident must be given a copy of all of the following,& inform appro to person's needs & capabilities the contents of materials given: the shared common areas policy made under s.15 [if > one class or non-res]"
Administrative and Other Matters,String,"Before making a res agreement, prospective resident must receive a copy of the following, & inform the prospective resident appro to person's needs & capabilities of the contents of materials given: the visitation & communication policy under s. 41 .2.",,S 30.1.b ,0euAq0000000UkIIAU,"Before making a res agreement, prospective resident must receive a copy of the following, & inform the prospective resident appro to person's needs & capabilities of the contents of materials given: the visitation & communication policy under s. 41 .2."
Administrative and Other Matters,String,"Before making a res agreement, prospective resident must receive a copy & be informed  appropriate to the person's needs & capabilities the contents of the materials given: the complaint policy under s. 43 .1.",,S 30.1.c ,0euAq0000000UkJIAU,"Before making a res agreement, prospective resident must receive a copy & be informed  appropriate to the person's needs & capabilities the contents of the materials given: the complaint policy under s. 43 .1."
Administrative and Other Matters,String,"Before making a res agreement, registrant must give prospective resident a copy of & inform the prospective resident appropriate to that person's needs & capabilities of the contents of the materials given: the end of residency policy made under s.44 .1.",,S 30.1.d ,0euAq0000000UkKIAU,"Before making a res agreement, registrant must give prospective resident a copy of & inform the prospective resident appropriate to that person's needs & capabilities of the contents of the materials given: the end of residency policy made under s.44 .1."
Administrative and Other Matters,String,"Before making a res agreement, registrant must give  the prospective resident a copy of & inform the prospective resident appropriate to that person's needs and capabilities of the contents of the materials given: the medication policy, if applicable.",,S 30.1.e ,0euAq0000000UkLIAU,"Before making a res agreement, registrant must give  the prospective resident a copy of & inform the prospective resident appropriate to that person's needs and capabilities of the contents of the materials given: the medication policy, if applicable."
Administrative and Other Matters,String,"Before making a residency agreement, Registrant must give to the prospective resident a copy of & inform the prospective resident appropriate to that person's needs & capabilities of the contents of materials given: cannabis policy made under s. 48 .3.",,S 30.1.f ,0euAq0000000UkMIAU,"Before making a residency agreement, Registrant must give to the prospective resident a copy of & inform the prospective resident appropriate to that person's needs & capabilities of the contents of materials given: cannabis policy made under s. 48 .3."
Planning and Support Agreements,String,A registrant may accept a person as a resident by making a written residency agreement with the person that includes all of the applicable content set out in Schedule C.,,S 31.1 ,0euAq0000000UkNIAU,A registrant may accept a person as a resident by making a written residency agreement with the person that includes all of the applicable content set out in Schedule C.
Planning and Support Agreements,String,"Before making a residency agreement, a registrant must inform the prospective resident in a manner that is appropriate to that person's needs and capabilities of the contents of the agreement.",,S 31.2 ,0euAq0000000UkOIAU,"Before making a residency agreement, a registrant must inform the prospective resident in a manner that is appropriate to that person's needs and capabilities of the contents of the agreement."
Administrative and Other Matters,String,"On signing a residency agreement, a registrant must give to the resident a copy of the residency agreement.",,S 31.3.a ,0euAq0000000UkPIAU,"On signing a residency agreement, a registrant must give to the resident a copy of the residency agreement."
Administrative and Other Matters,String,"On signing a res agreement, registrant must give to the resident written information to contact the registrar to make a complaint,& the registrar's contact info, & inform the resident of the contents of materials given.",,S 31.3.b ,0euAq0000000UkQIAU,"On signing a res agreement, registrant must give to the resident written information to contact the registrar to make a complaint,& the registrar's contact info, & inform the resident of the contents of materials given."
Administrative and Other Matters,String,For the purposes of subsection .4 the resident or the resident's personal representative.,,S 31.4.a ,0euAq0000000UkRIAU,For the purposes of subsection .4 the resident or the resident's personal representative.
