AssessmentIndDefinition.ExternalId__c,AssessmentIndDefinition.Name,AssessmentIndDefinitionId,AssessmentTaskDefinition.Name,AssessmentTaskDefinitionId,DisplayOrder,ExternalId__c,Id
S 18.1.b ,A registrant must ensure that furniture and equipment provided in common areas and units are compatible with the health and safety of residents.,0eubZ00000001FlQAI,Housing MH Application,0Z4bZ00000000BTSAY,,Housing MH Application,FGWAYFQBRREOGJGAIF
S 18.1.c ,A registrant must ensure that furniture and equipment provided in common areas and units are in a state of good repair.,0eubZ00000001FmQAI,Housing MH Application,0Z4bZ00000000BTSAY,,Housing MH Application,KNZOJKA1GDUTSRVRP2
S 18.2.a ,"Registrant MH or SN class must provide, in each resident's unit, a lockable device for the resident to securely store money and personal property.",0eubZ00000001FnQAI,Housing MH Application,0Z4bZ00000000BTSAY,,Housing MH Application,OII7IHUGPKUT5SUEVI
S 18.2.b ,"Registrant MH or SN class must provide, in each resident's unit, a lockable device for resident’s use to securely store money and personal property & permit furniture/equip and personal property unless it would jeopardize the H&S of others.",0eubZ00000001FoQAI,Housing MH Application,0Z4bZ00000000BTSAY,,Housing MH Application,MOQEYN0LFI9W61QO3B
S 19.1 ,A registrant must ensure that the assisted living residence is secured in a manner that protects residents from entry by unauthorized persons.,0eubZ00000001FpQAI,Housing MH Application,0Z4bZ00000000BTSAY,,Housing MH Application,P66PKC99WZ8EG5JGJP
S 19.2 ,"A registrant must ensure that units are accessible in an emergency, including that locked units may be unlocked from the outside.",0eubZ00000001FqQAI,Housing MH Application,0Z4bZ00000000BTSAY,,Housing MH Application,5ZBWLVYLSBOJLYEVUG
S 19.4 ,A registrant must ensure that emergency exits and egress windows are not obstructed or secured in a manner that may hinder exit in an emergency.,0eubZ00000001FtQAI,Emergency Preparedness MH Application,0Z4bZ00000000BUSAY,,Emergency Preparedness MH Application,4ZZU86BGBMHGRGK4SQ
S 22.1.a.i ,"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, has first obtained a criminal record check for the person.",0eubZ00000001FzQAI,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,83VSDZ4VFQXBYCTTPQ
S 22.1.a.ii ,"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, has first obtained a record of the person's work history.",0eubZ00000001G0QAI,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,QCYNFAQT2I3KTYECK7
S 22.1.a.iii ,"Subject to subsections (2) & (3), a registrant must not employ a person in an AL residence unless the registrant or manager, has first obtained copies of any diplomas, certificates or other evidence of training, experience, skills, & other qualifications.",0eubZ00000001G1QAI,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,BZDHRIQNFPSNFYFJBV
S 22.1.a.iv ,"Subject to subsections (2) & (3), must not employ a person in an AL residence unless the registrant or manager, has first obtained copies of diplomas, certificates or other evidence of the person's training, experience, skills, & other qualifications.",0eubZ00000001G2QAI,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,0GW8BH1R1TYG8W16B1
S 22.1.b.i ,"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, is satisfied that the person is of good character.",0eubZ00000001G3QAI,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,B2JASZA6EJE0QDMUJ0
S 22.1.b.ii ,"Subject to subsections (2) and (3), registrant must not employ a person in an AL residence unless the registrant or manager, is satisfied that the person has the personality, ability and temperament necessary to provide services to residents",0eubZ00000001G4QAI,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,NFEZPHAUFTOB8CXNAI
S 22.1.b.iii ,"Subject to subsections (2) & (3), must not employ a person in an AL Res unless the registrant or manager is satisfied the person has the training, experience ,qualifications & demonstrates skills, necessary to the assigned duties & responsibilities.",0eubZ00000001G5QAI,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,OARYRN9AKAS3EDAOVV
S 25.1.a ,"A registrant must make an emergency response plan that describes the procedures to be followed to prepare for, mitigate, respond to and recover from an emergency at the assisted living residence",0eubZ00000001GRQAY,Emergency Preparedness MH Application,0Z4bZ00000000BUSAY,,Emergency Preparedness MH Application,R4G6O5IHGKSWDKTP95
S 25.3 ,"Registrant must ensure all employees, other than a volunteer to whom section 22 (2) [character and skill requirements] applies, are trained in the implementation of the emergency response plan, including in the use of equipment referred to in the plan.",0eubZ00000001GXQAY,Emergency Preparedness MH Application,0Z4bZ00000000BUSAY,,Emergency Preparedness MH Application,CMPNEEBVGEKRYCEDBM
S 26.1 ,A registrant must display prominently throughout the assisted living residence evacuation procedures and a diagram of the location of emergency exits.,0eubZ00000001GYQAY,Emergency Preparedness MH Application,0Z4bZ00000000BUSAY,,Emergency Preparedness MH Application,JNACDEFCYWLLRNYXV7
S 26.2 ,A registrant must ensure that the assisted living residence has emergency exits and egress windows that are appropriate to resident needs and capabilities.,0eubZ00000001GZQAY,Emergency Preparedness MH Application,0Z4bZ00000000BUSAY,,Emergency Preparedness MH Application,9XVMFRWSUVHSVKLYW7
S 26.3 ,A registrant must ensure that reliable communication equipment is accessible to all employees during an emergency.,0eubZ00000001GaQAI,Emergency Preparedness MH Application,0Z4bZ00000000BUSAY,,Emergency Preparedness MH Application,UZJSWKAJKU7AXXT7HZ
S 26.4.a.i ,"A registrant must ensure that fire protection equipment is inspected, tested and maintained, in accordance with the recommendations, if any, of the manufacture.",0eubZ00000001GbQAI,Emergency Preparedness MH Application,0Z4bZ00000000BUSAY,,Emergency Preparedness MH Application,YRNCDPZR9Q9NIXG4MY
S 26.4.a.ii ,"A registrant must ensure that fire protection equipment is inspected, tested and maintained  at least annually.",0eubZ00000001GcQAI,Emergency Preparedness MH Application,0Z4bZ00000000BUSAY,,Emergency Preparedness MH Application,GCDEOZ7XG05IMPJOFL
S 26.4.b ,"A registrant must ensure that other emergency equipment is inspected, tested and maintained in accordance with the recommendations, if any, of the manufacturer.",0eubZ00000001GdQAI,Emergency Preparedness MH Application,0Z4bZ00000000BUSAY,,Emergency Preparedness MH Application,YLRKF9JCDCGU5HBOFT
S 27.1 ,"A registrant must ensure that, at all times, an employee who holds a valid first aid and CPR certificate, provided on completing a course that meets the requirements of Schedule B, is readily accessible to residents.",0eubZ00000001GfQAI,Employees/Staff MH Application,0Z4bZ00000000BVSAY,,Employees/Staff MH Application,MQ6DVJMHRANEMFA9JA
S 27.2 ,A registrant must have first aid supplies readily accessible to all employees.,0eubZ00000001GgQAI,Emergency Preparedness MH Application,0Z4bZ00000000BUSAY,,Emergency Preparedness MH Application,JKNMFA1BMVQ2ZWI2KA
S 28.2 ,A registrant must make a plan describing the procedures to be followed to prevent and respond to opioid overdoses by residents.,0eubZ00000001GjQAI,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,EARRHG7YCXLXUBFMKG
S 28.3.a ,"Without limiting section 27 [first aid], a registrant must ensure all of the following: that naloxone and related supplies are readily accessible to all employees and residents.",0eubZ00000001GkQAI,Emergency Preparedness MH Application,0Z4bZ00000000BUSAY,,Emergency Preparedness MH Application,M1SW80EG7OPJCGKLJS
S 28.3.b ,"Without limiting section 27 [first aid], a registrant must ensure all of the following: that all employees are trained in how to administer naloxone.",0eubZ00000001GlQAI,Employees/Staff MH Application,0Z4bZ00000000BVSAY,,Employees/Staff MH Application,TZDAUEAF3KAB8ZLDCT
S 36.1 , A registrant must display in a prominent place in the assisted living residence a statement of the rights of residents.,0eubZ00000001HRQAY,Residents' Rights MH Application,0Z4bZ00000000BYSAY,,Residents' Rights MH Application,A2Y151E2SGMLJOXYDG
S 39.2 ,A registrant must not use electronic surveillance in a unit or washroom.,0eubZ00000001HdQAI,Residents' Rights MH Application,0Z4bZ00000000BYSAY,,Residents' Rights MH Application,JOOMC6IGPI5YT2ZFJS
S 43.2 ,A registrant must display in a prominent place in the assisted living residence the information described in section 31 (3) (b) [residency agreement] respecting complaints to the registrar.,0eubZ00000001HsQAI,Residents' Rights MH Application,0Z4bZ00000000BYSAY,,Residents' Rights MH Application,CCYA0NICJ0NBHMKBCS
S 46.1.b.ii ,"If residency ends unexpectedly ,i.e. resident abandons the AL residence or required to leave under the terms of the res agreement, a registrant must unless not practicable provide a personal naloxone kit if  person is at risk of experiencing an opioid OD",0eubZ00000001IMQAY,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,JDE9AYKRZUYKQWMERX
S 47.1.a ,A registrant must make a plan describing the procedures to be followed topromote general health and hygiene amongst residents.,0eubZ00000001IOQAY,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,ZC0VW4HN8VTM5FMARF
S 47.1.b ,A registrant must make a plan describing the procedures to be followed toprevent the spread of infectious disease in the assisted living residence.,0eubZ00000001IPQAY,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,Y1BJCWCIXUH5S3KI7N
S 49.2 ,"A registrant must ensure that food and fluids provided by the registrant to residents are prepared, stored, served and handled safely.",0eubZ00000001IZQAY,Health and Safety MH Application,0Z4bZ00000000BSSAY,,Health and Safety MH Application,FHU661GCWTUI2TVWSP
S 49.3 ,"A registrant must ensure that at least one employee who holds a current FOODSAFE certificate is present at the assisted living residence while food is prepared, served and handled.",0eubZ00000001IaQAI,Health and Safety MH Application,0Z4bZ00000000BSSAY,,Health and Safety MH Application,55TXPT2ID2KBXFAU4I
S 49.4 ,Nothing in subsection (2) or (3) prevents residents from preparing their own food or fluids.,0eubZ00000001IbQAI,Residents' Rights MH Application,0Z4bZ00000000BYSAY,,Residents' Rights MH Application,FQDUZYUQJ8MYYZSIJV
S 51.2.b.i ,"A registrant must do all of the following if this section applies:within 24 hours of the incident, report the incident to all of the following:the registrar, in the form and manner required by the registrar.",0eubZ00000001IgQAI,Health and Safety MH Application,0Z4bZ00000000BSSAY,,Health and Safety MH Application,AEJ0BGOIR3CU0RT0IH
S 51.2.c ,A registrant must do all of the following if this section applies:make a record of the reportable incident and of the actions taken under paragraph .a.,0eubZ00000001IjQAI,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,VUO7T8PJQJHQFHQQXE
S 54.1.a ,A registrant must ensure that hospitality services are provided to residents in a manner thatpromotes resident independence.,0eubZ00000001IoQAI,Hospitality Service MH Application,0Z4bZ00000000BZSAY,,Hospitality Service MH Application,HIJ1V73URDHC1EMVVK
S 54.1.b ,A registrant must ensure that hospitality services are provided to residents in a manner thatdoes not jeopardize the health or safety of residents.,0eubZ00000001IpQAI,Hospitality Service MH Application,0Z4bZ00000000BZSAY,,Hospitality Service MH Application,9JPDFBWX6BFSN7ZZAJ
S 55.2.a ,"A registrant must ensure that a menu plan is developed thatdescribes the meals, fluids and snacks for each day over at least a 4 week cycle.",0eubZ00000001IrQAI,Hospitality Service MH Application,0Z4bZ00000000BZSAY,,Hospitality Service MH Application,VPEAX2U13PWYSO94JL
S 55.2.b ,A registrant must ensure that a menu plan is developed thatis consistent with the recommendations set out in Canada's Food Guide.,0eubZ00000001IsQAI,Hospitality Service MH Application,0Z4bZ00000000BZSAY,,Hospitality Service MH Application,2SPQK0O2GLOHAUENNJ
S 55.2.c ,"A registrant must ensure that a menu plan is developed thatprovides for a variety of foods and fluids, taking into consideration the nutritional needs and cultural, spiritual and personal preferences of residents.",0eubZ00000001ItQAI,Hospitality Service MH Application,0Z4bZ00000000BZSAY,,Hospitality Service MH Application,2DKGQ8NYJUBP8L4DDA
S 55.4.b ,"If a food or fluid is substituted for a food or fluid described in a daily menu, a registrant must ensure thatresidents are informed of the substitution.",0eubZ00000001IyQAI,Hospitality Service MH Application,0Z4bZ00000000BZSAY,,Hospitality Service MH Application,LL1U9FUKHZ1PCNZREP
S 56.1.b ,"A registrant must ensure that all meals, fluids and snacks provided to residentsare palatable and safe for residents, taking into consideration residents' needs and capabilities.",0eubZ00000001J0QAI,Hospitality Service MH Application,0Z4bZ00000000BZSAY,,Hospitality Service MH Application,UNFUZIESK9EM0MSCFW
S 56.1.c ,"A registrant must ensure that all meals, fluids and snacks provided to residentsare provided in sufficient portions to meet residents' needs and ensure adequate hydration.",0eubZ00000001J1QAI,Hospitality Service MH Application,0Z4bZ00000000BZSAY,,Hospitality Service MH Application,OZOPHFIMI8WFSGG0SI
S 56.2 ,"Nothing in subsection (1) prevents residents from preparing their own meals, fluids or snacks.",0eubZ00000001J2QAI,Hospitality Service MH Application,0Z4bZ00000000BZSAY,,Hospitality Service MH Application,TV88IAFFPEGYMX7XHF
S 56.3 ,A registrant must post or otherwise provide to residents the daily menu and meal times.,0eubZ00000001J3QAI,Hospitality Service MH Application,0Z4bZ00000000BZSAY,,Hospitality Service MH Application,AOCUOBFNZXNEYEJJ70
S 57.1.a ,"A registrant must provide housekeeping services thatinclude, at the least, sufficient cleaning of the premises, including regular cleaning of hard surfaces, to prevent disease and ensure a safe, clean and sanitary environment.",0eubZ00000001J7QAI,Hospitality Service MH Application,0Z4bZ00000000BZSAY,,Hospitality Service MH Application,MSYFZO70ABHYCPRCKD
S 58.2 ,A registrant must provide linens to residents who require them.,0eubZ00000001JAQAY,Hospitality Service MH Application,0Z4bZ00000000BZSAY,,Hospitality Service MH Application,1VSUNF2LEAP4L7DKKA
S 58.3.a ,"A registrant must ensure that linens are clean, dry and in good condition, and are launderedat least weekly.",0eubZ00000001JBQAY,Hospitality Service MH Application,0Z4bZ00000000BZSAY,,Hospitality Service MH Application,BROEGZEQNTKSTSVEZZ
S 58.3.b ,"A registrant must ensure that linens are clean, dry and in good condition, and are launderedmore often as needed to maintain resident health and meet resident needs.",0eubZ00000001JCQAY,Hospitality Service MH Application,0Z4bZ00000000BZSAY,,Hospitality Service MH Application,WQEV4WW3EVKCUQGMHF
S 58.4 ,A registrant must provide to residents either personal laundry service or laundry equipment for resident use.,0eubZ00000001JDQAY,Hospitality Service MH Application,0Z4bZ00000000BZSAY,,Hospitality Service MH Application,6WI3QZUXA6A7PVMOXW
S 59.1 ,"A registrant must provide to residents a program of social and recreational activities that are appropriate to resident needs, capabilities and preferences.",0eubZ00000001JEQAY,Hospitality Service MH Application,0Z4bZ00000000BZSAY,,Hospitality Service MH Application,TAK9B3JL377FH0I6QX
S 59.2 ,A registrant must post or otherwise provide to residents a calendar of the program of social and recreational activities.,0eubZ00000001JFQAY,Hospitality Service MH Application,0Z4bZ00000000BZSAY,,Hospitality Service MH Application,GY12CCLDVHPYFYSZJY
S 60.1.a ,A registrant must provide to residents a 24 hour emergency response system thatenables residents to summon help during a personal emergency.,0eubZ00000001JHQAY,Emergency Preparedness MH Application,0Z4bZ00000000BUSAY,,Emergency Preparedness MH Application,F3XR6BHOJFNWCEZWNS
S 60.1.b ,A registrant must provide to residents a 24 hour emergency response system thatis accessible to residents in a manner appropriate to resident needs and capabilities.,0eubZ00000001JIQAY,Emergency Preparedness MH Application,0Z4bZ00000000BUSAY,,Emergency Preparedness MH Application,RTW8UWGNGA6XFV3MZF
S 61.1.a ,A registrant must ensure that assisted living services are provided to residents in a manner thatpromotes resident independence.,0eubZ00000001JJQAY,Health and Safety MH Application,0Z4bZ00000000BSSAY,,Health and Safety MH Application,HFIRWJCD58UWHX9W9S
S 61.1.b ,A registrant must ensure that assisted living services are provided to residents in a manner thatdoes not jeopardize the health or safety of residents.,0eubZ00000001JKQAY,Health and Safety MH Application,0Z4bZ00000000BSSAY,,Health and Safety MH Application,S71GIVAC2ZE9OCHQ0Q
S 64.1.a ,A registrant who provides assistance with managing medication must make a plan describing the procedures to be followed toensure that assistance with managing medication is provided in a manner that does not jeopardize health or safety.,0eubZ00000001JYQAY,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,X77PZ3CLVW8N19ERWF
S 64.1.b ,"A registrant who provides assistance with managing medication must make a plan describing the procedures to be followed toprevent theft of medication, if the registrant provides assistance with receiving, safekeeping or distributing medication.",0eubZ00000001JZQAY,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,QQSEXU6NDF0OC1Z0FT
S 64.2 ,A registrant who provides assistance with managing medication must make a record for each resident receiving the service that includes a list of the resident's medications.,0eubZ00000001JaQAI,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,GUBMJJJEYMFPAWGHHV
S 64.3 ,A registrant who provides assistance with managing medication must support and encourage those residents who have the ability to do so without jeopardizing their health or safety to self-manage medication.,0eubZ00000001JbQAI,Residents' Rights MH Application,0Z4bZ00000000BYSAY,,Residents' Rights MH Application,CQPLBSXDM88P55AVPZ
S 65.1.a.i ,A registrant who provides assistance with safekeeping medication must ensure all of the following with respect to medication kept in the assisted living residence:that medication is keptsafely and securely.,0eubZ00000001JeQAI,Health and Safety MH Application,0Z4bZ00000000BSSAY,,Health and Safety MH Application,HZLRN6HBKOVUIUZ7X8
S 65.1.b ,A registrant who provides assistance with safekeeping medication must ensure all of the following with respect to medication kept in the assisted living residence:that an inventory of medication is maintained.,0eubZ00000001JgQAI,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,RQEQNE8D9YJMTSD736
S 66.1 ,A registrant who provides assistance with distributing medication must ensure that a record is made in respect of each distribution of medication.,0eubZ00000001JlQAI,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,SHZNXFR13H9T9NYWET
S 67.1.b ,"Registrant who provides assistance with administering medication must ensure administration is only by a hlth professional, or certified non-registrant within the meaning of the Hlth Professions Act, who is authorized under that Act to administer.",0eubZ00000001JnQAI,Employees/Staff MH Application,0Z4bZ00000000BVSAY,,Employees/Staff MH Application,QG904EHWHQJVGWIVAK
S 67.2.c.i ,A registrant who provides assistance with administering medication must ensure all of the following:that a record is madein respect of each administration of medication to a resident.,0eubZ00000001JqQAI,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,OPZXHUDKFSOM5MUHII
S 67.2.c.ii ,"A registrant who provides assistance with administering medication must ensure all of the following:that a record is madeof each error made in administering medication, if any, to which section 51 [reportable incidents] does not apply.",0eubZ00000001JrQAI,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,JBQ3BHDUT8LEC3MU0D
S 69.2.a.i ,Registrant who provides assistance with the safekeeping of money and other personal property must keep for each resident a record that includes all of the following:a current accounting of the money and a current inventory of the personal property held.,0eubZ00000001JwQAI,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,5TGJFNCA86FHYONAQQ
S 69.2.a.ii ,"Registrant- safekeeping money & personal prop must keep a record of the amount of money & personal prop the registrant gave to or rec'd from the resident,contact person or personal rep & the date given or rec'd with amounts given or rec'd when res ended.",0eubZ00000001JxQAI,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,VG5JL1MT8T8WIKDTRY
S 70.1.b ,"In paragraph (d) of the definition of ""assisted living services"" in section 1 of the Act, ""assistance with managing therapeutic diets"" includes providing to a resident a diet thatis or is part of a treatment plan for the resident's medical condition.",0eubZ00000001K2QAI,Assisted Living Services MH Application,0Z4bZ00000000BaSAI,,Assisted Living Services MH Application,XTWBA3A0ZC3NC47RAV
S 70.2.a ,"If a resident requires a therapeutic diet, registrant must ensure a individual dietary plan is developed, in consultation with a med practitioner, nurse practitioner or dietitian, that gives instructions on how meals, fluids or snacks are to be modified.",0eubZ00000001K4QAI,Health and Safety MH Application,0Z4bZ00000000BSSAY,,Health and Safety MH Application,DA23YMFRMLQ5PZUGBW
S 71.2 ,"Registrant who provides to a resident assistance with behavior management must, in consultation with an appropriate hlth professional who has assessed the resident's needs & capabilities, develop a behavior management plan &revised as appropriate.",0eubZ00000001K8QAI,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,D0MSXGAW2RDQWEKE4K
S 72.2.a.i ,A registrant who provides assistance with psychosocial supports must do all of the following:make a policydescribing the nature and scope of the programs to be provided.,0eubZ00000001KDQAY,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,HVE7FD8TJZ5ERWJ9PG
S 72.2.d ,A registrant who provides assistance with psychosocial supports must do all of the following:post or otherwise provide to residents a calendar of the programs.,0eubZ00000001KIQAY,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,3PB7FZSS8LLCAF7UAA
S 73.1.c ,All plans and policies that must be made under this regulation are available to employees having relevant duties and responsibilities.,0eubZ00000001KLQAY,Administrative and Other Matters MH Application,0Z4bZ00000000BWSAY,,Administrative and Other Matters MH Application,GMLPQMTHTYTH2O4BQV
CCALA 26.1.1.a ,Persons not allowed to reside if unable to make on their own behalf decisions necessary to live safely,0eubZ00000001FTQAY,Health and Safety MH Compliance,0Z4bZ00000000BtSAI,,Health and Safety MH Compliance,K2JAZLUYAP4DRVUX7Z
CCALA 26.1.1.b ,"Persons not allowed to reside if cannot recognize an emrg, take steps to protect themselves or follow directions in an emrg",0eubZ00000001FUQAY,Health and Safety MH Compliance,0Z4bZ00000000BtSAI,,Health and Safety MH Compliance,MTUFON5RJUBXP2GBAR
CCALA 26.1.1.c ,Persons not allowed to reside if behaves in a manner that jeopardizes the health or safety of others,0eubZ00000001FVQAY,Health and Safety MH Compliance,0Z4bZ00000000BtSAI,,Health and Safety MH Compliance,81HG8J0NOCGHAHGDWS
CCALA 26.1.1.d ,Persons not allowed to reside if requires on a regular basis unscheduled Pro. health services,0eubZ00000001FWQAY,Health and Safety MH Compliance,0Z4bZ00000000BtSAI,,Health and Safety MH Compliance,YJVE14JQARVMUY17IM
S 15.1.a,This section applies to a registrant who operates an assisted living residence that houses more than one class on the same premises.,0eubZ00000001FXQAY,Housing MH Compliance,0Z4bZ00000000BuSAI,,Housing MH Compliance,AWBF96KXQ58SOLTP8K
S 15.1.b,This section applies to a registrant who operates an assisted living residence that houses both residents and non-residents.,0eubZ00000001FYQAY,Housing MH Compliance,0Z4bZ00000000BuSAI,,Housing MH Compliance,WABJTDXKUMMVWNIG1G
S 15.2.a,"A registrant who operates an assisted living residence to which this section applies must ensure that units for each class, and for residents and non-residents, are located in separate and distinct locations on the premises.",0eubZ00000001FZQAY,Housing MH Compliance,0Z4bZ00000000BuSAI,,Housing MH Compliance,VA9PFQ5TBWRTDBVLR1
S 15.2.b,Registrant must make and manage a policy of common areas shared use for more than one class or by residents and non-residents to protect resident’s health and safety.,0eubZ00000001FaQAI,Housing MH Compliance,0Z4bZ00000000BuSAI,,Housing MH Compliance,OHLH4MGOUX6N3EW2BL
S 16.1,"A registrant must not have more units, or house more residents, than is permitted under the registrant’s registration.",0eubZ00000001FbQAI,Housing MH Compliance,0Z4bZ00000000BuSAI,,Housing MH Compliance,QCLS64HDBEXYQQLFKM
S 16.2,A registrant must not house more residents in a unit than is consistent with protecting the health and safety of each resident.,0eubZ00000001FcQAI,Housing MH Compliance,0Z4bZ00000000BuSAI,,Housing MH Compliance,DVO2RTGJDFTADFCKGG
S 17.1.a,"A registrant must ensure that the assisted living residence is in a state of good repair and is safe, clean and free of hazards.",0eubZ00000001FdQAI,Housing MH Compliance,0Z4bZ00000000BuSAI,,Housing MH Compliance,IVBXGCYEG5ZELMEB67
S 17.1.b,A registrant must ensure that the assisted living residence  is maintained at a safe and comfortable temperature for residents.,0eubZ00000001FeQAI,Housing MH Compliance,0Z4bZ00000000BuSAI,,Housing MH Compliance,YHNVFOQ5QQ9OXJJKX0
S 17.1.c ,A registrant must ensure that the assisted living residence is well-ventilated and has sufficient lighting in units and common areas.,0eubZ00000001FfQAI,Housing MH Compliance,0Z4bZ00000000BuSAI,,Housing MH Compliance,PCLV7BGWBC24V36QGA
S 17.1.d,A registrant must ensure that the assisted living residence  has sufficient social and recreational space for residents.,0eubZ00000001FgQAI,Housing MH Compliance,0Z4bZ00000000BuSAI,,Housing MH Compliance,1BXESXNEDVTLVUTQTZ
S 17.2,"A registrant must ensure that residents requiring mobility aids may access, in a manner appropriate to each resident, all areas intended for use by residents.",0eubZ00000001FhQAI,Housing MH Compliance,0Z4bZ00000000BuSAI,,Housing MH Compliance,GGRGAG74XBO7CHED8K
S 17.3.a ,A registrant must ensure  with respect to the assisted living residence that the premises conforms to all enactments relevant to building alterations or occupancy limits.,0eubZ00000001FiQAI,Housing MH Compliance,0Z4bZ00000000BuSAI,,Housing MH Compliance,ESUOPKEM7BP8CPK2BW
S 17.3.b ,A registrant must ensure the following with respect to the assisted living residence that each unit is or includes a bedroom that has both a door and a window.,0eubZ00000001FjQAI,Housing MH Compliance,0Z4bZ00000000BuSAI,,Housing MH Compliance,QPCG9NHG7HMZKFHDGV
