AssessmentIndDefinition.ExternalId__c,AssessmentIndDefinition.Name,AssessmentIndDefinitionId,ExternalId__c,ExternalId__c (Assessment Indicator Definition),ExternalId__c Reg Code,Id,RegulatoryCode.ExternalId__c,RegulatoryCode.RegulatoryAuthorityId,RegulatoryCodeId
S 16.1,"A registrant must not have more units, or house more residents, than is permitted under the registrant’s registration.",0eubZ00000001FbQAI,S 16.1,S 16.1,S 16.1,0fMbZ00000000jLUAQ,S 16.1,19pbZ00000002kzQAA,0fCbZ00000000pnUAA
S 16.2,A registrant must not house more residents in a unit than is consistent with protecting the health and safety of each resident.,0eubZ00000001FcQAI,S 16.2,S 16.2,S 16.2,0fMbZ00000000jMUAQ,S 16.2,19pbZ00000002kzQAA,0fCbZ00000000poUAA
S 17.1.a,"A registrant must ensure that the assisted living residence is in a state of good repair and is safe, clean and free of hazards.",0eubZ00000001FdQAI,S 17.1.a,S 17.1.a,S 17.1.a,0fMbZ00000000jNUAQ,S 17.1.a,19pbZ00000002kzQAA,0fCbZ00000000ppUAA
S 17.1.b,A registrant must ensure that the assisted living residence  is maintained at a safe and comfortable temperature for residents.,0eubZ00000001FeQAI,S 17.1.b,S 17.1.b,S 17.1.b,0fMbZ00000000jOUAQ,S 17.1.b,19pbZ00000002kzQAA,0fCbZ00000000pqUAA
S 17.1.c ,A registrant must ensure that the assisted living residence is well-ventilated and has sufficient lighting in units and common areas.,0eubZ00000001FfQAI,S 17.1.c ,S 17.1.c ,S 17.1.c ,0fMbZ00000000jPUAQ,S 17.1.c ,19pbZ00000002kzQAA,0fCbZ00000000prUAA
S 17.1.d,A registrant must ensure that the assisted living residence  has sufficient social and recreational space for residents.,0eubZ00000001FgQAI,S 17.1.d,S 17.1.d,S 17.1.d,0fMbZ00000000jQUAQ,S 17.1.d,19pbZ00000002kzQAA,0fCbZ00000000psUAA
S 17.2,"A registrant must ensure that residents requiring mobility aids may access, in a manner appropriate to each resident, all areas intended for use by residents.",0eubZ00000001FhQAI,S 17.2,S 17.2,S 17.2,0fMbZ00000000jRUAQ,S 17.2,19pbZ00000002kzQAA,0fCbZ00000000ptUAA
S 17.3.a ,A registrant must ensure  with respect to the assisted living residence that the premises conforms to all enactments relevant to building alterations or occupancy limits.,0eubZ00000001FiQAI,S 17.3.a ,S 17.3.a ,S 17.3.a ,0fMbZ00000000jSUAQ,S 17.3.a ,19pbZ00000002kzQAA,0fCbZ00000000puUAA
S 17.3.b ,A registrant must ensure the following with respect to the assisted living residence that each unit is or includes a bedroom that has both a door and a window.,0eubZ00000001FjQAI,S 17.3.b ,S 17.3.b ,S 17.3.b ,0fMbZ00000000jTUAQ,S 17.3.b ,19pbZ00000002kzQAA,0fCbZ00000000pvUAA
S 18.1.a ,A registrant must ensure that furniture and equipment provided in common areas and units meet resident needs and capabilities.,0eubZ00000001FkQAI,S 18.1.a ,S 18.1.a ,S 18.1.a ,0fMbZ00000000jUUAQ,S 18.1.a ,19pbZ00000002kzQAA,0fCbZ00000000pwUAA
S 18.1.b ,A registrant must ensure that furniture and equipment provided in common areas and units are compatible with the health and safety of residents.,0eubZ00000001FlQAI,S 18.1.b ,S 18.1.b ,S 18.1.b ,0fMbZ00000000jVUAQ,S 18.1.b ,19pbZ00000002kzQAA,0fCbZ00000000pxUAA
S 18.1.c ,A registrant must ensure that furniture and equipment provided in common areas and units are in a state of good repair.,0eubZ00000001FmQAI,S 18.1.c ,S 18.1.c ,S 18.1.c ,0fMbZ00000000jWUAQ,S 18.1.c ,19pbZ00000002kzQAA,0fCbZ00000000pyUAA
S 18.2.a ,"Registrant MH or SN class must provide, in each resident's unit, a lockable device for the resident to securely store money and personal property.",0eubZ00000001FnQAI,S 18.2.a ,S 18.2.a ,S 18.2.a ,0fMbZ00000000jXUAQ,S 18.2.a ,19pbZ00000002kzQAA,0fCbZ00000000pzUAA
S 18.2.b ,"Registrant MH or SN class must provide, in each resident's unit, a lockable device for resident’s use to securely store money and personal property & permit furniture/equip and personal property unless it would jeopardize the H&S of others.",0eubZ00000001FoQAI,S 18.2.b ,S 18.2.b ,S 18.2.b ,0fMbZ00000000jYUAQ,S 18.2.b ,19pbZ00000002kzQAA,0fCbZ00000000q0UAA
S 19.1 ,A registrant must ensure that the assisted living residence is secured in a manner that protects residents from entry by unauthorized persons.,0eubZ00000001FpQAI,S 19.1 ,S 19.1 ,S 19.1 ,0fMbZ00000000jZUAQ,S 19.1 ,19pbZ00000002kzQAA,0fCbZ00000000q1UAA
S 19.2 ,"A registrant must ensure that units are accessible in an emergency, including that locked units may be unlocked from the outside.",0eubZ00000001FqQAI,S 19.2 ,S 19.2 ,S 19.2 ,0fMbZ00000000jaUAA,S 19.2 ,19pbZ00000002kzQAA,0fCbZ00000000q2UAA
S 19.3.a ,A registrant who operates an assisted living residence of the Seniors and Persons with Disabilities class must ensure that residents may lock their own units.,0eubZ00000001FrQAI,S 19.3.a ,S 19.3.a ,S 19.3.a ,0fMbZ00000000jbUAA,S 19.3.a ,19pbZ00000002kzQAA,0fCbZ00000000q3UAA
S 19.3.b ,"A registrant who operates an assisted living residence of the Seniors and Persons with Disabilities class must ensure that residents may lock their own units that, subject to subsection (2), residents may control access to their own units.",0eubZ00000001FsQAI,S 19.3.b ,S 19.3.b ,S 19.3.b ,0fMbZ00000000jcUAA,S 19.3.b ,19pbZ00000002kzQAA,0fCbZ00000000q4UAA
S 19.4 ,A registrant must ensure that emergency exits and egress windows are not obstructed or secured in a manner that may hinder exit in an emergency.,0eubZ00000001FtQAI,S 19.4 ,S 19.4 ,S 19.4 ,0fMbZ00000000jdUAA,S 19.4 ,19pbZ00000002kzQAA,0fCbZ00000000q5UAA
S 19.5 ,A registrant must not permit a weapon within the meaning of the Criminal Code in the assisted living residence.,0eubZ00000001FuQAI,S 19.5 ,S 19.5 ,S 19.5 ,0fMbZ00000000jeUAA,S 19.5 ,19pbZ00000002kzQAA,0fCbZ00000000q6UAA
S 20.1.a ,"At all times, sufficient number of employees with adequate training, experience, skills & qualifications to provide hospitality services & AL services to residents in accordance with the registrant's registration.",0eubZ00000001FvQAI,S 20.1.a ,S 20.1.a ,S 20.1.a ,0fMbZ00000000jfUAA,S 20.1.a ,19pbZ00000002kzQAA,0fCbZ00000000q7UAA
S 20.1.b ,"At all times, sufficient number of employees with adequate training, experience, skills & qualifications to provide hospitality services & AL services to residents in a manner that will not jeopardize the health and safety of residents.",0eubZ00000001FwQAI,S 20.1.b ,S 20.1.b ,S 20.1.b ,0fMbZ00000000jgUAA,S 20.1.b ,19pbZ00000002kzQAA,0fCbZ00000000q8UAA
S 21.1.a ,"A registrant must prepare an employee plan that includes a written description of the  the duties and responsibilities of the employee for each employee position, whether volunteer or staff.",0eubZ00000001FxQAI,S 21.1.a ,S 21.1.a ,S 21.1.a ,0fMbZ00000000jhUAA,S 21.1.a ,19pbZ00000002kzQAA,0fCbZ00000000q9UAA
S 21.1.b ,"A registrant must prepare an employee plan that includes a written description of all of the training, experience, skills and other qualifications the employee must have, for each employee position, whether volunteer or staff.",0eubZ00000001FyQAI,S 21.1.b ,S 21.1.b ,S 21.1.b ,0fMbZ00000000jiUAA,S 21.1.b ,19pbZ00000002kzQAA,0fCbZ00000000qAUAQ
S 22.1.a.i ,"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, has first obtained a criminal record check for the person.",0eubZ00000001FzQAI,S 22.1.a.i ,S 22.1.a.i ,S 22.1.a.i ,0fMbZ00000000jjUAA,S 22.1.a.i ,19pbZ00000002kzQAA,0fCbZ00000000qBUAQ
S 22.1.a.ii ,"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, has first obtained a record of the person's work history.",0eubZ00000001G0QAI,S 22.1.a.ii ,S 22.1.a.ii ,S 22.1.a.ii ,0fMbZ00000000jkUAA,S 22.1.a.ii ,19pbZ00000002kzQAA,0fCbZ00000000qCUAQ
S 22.1.a.iii ,"Subject to subsections (2) & (3), a registrant must not employ a person in an AL residence unless the registrant or manager, has first obtained copies of any diplomas, certificates or other evidence of training, experience, skills, & other qualifications.",0eubZ00000001G1QAI,S 22.1.a.iii ,S 22.1.a.iii ,S 22.1.a.iii ,0fMbZ00000000jlUAA,S 22.1.a.iii ,19pbZ00000002kzQAA,0fCbZ00000000qDUAQ
S 22.1.a.iv ,"Subject to subsections (2) & (3), must not employ a person in an AL residence unless the registrant or manager, has first obtained copies of diplomas, certificates or other evidence of the person's training, experience, skills, & other qualifications.",0eubZ00000001G2QAI,S 22.1.a.iv ,S 22.1.a.iv ,S 22.1.a.iv ,0fMbZ00000000jmUAA,S 22.1.a.iv ,19pbZ00000002kzQAA,0fCbZ00000000qEUAQ
S 22.1.b.i ,"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, is satisfied that the person is of good character.",0eubZ00000001G3QAI,S 22.1.b.i ,S 22.1.b.i ,S 22.1.b.i ,0fMbZ00000000jnUAA,S 22.1.b.i ,19pbZ00000002kzQAA,0fCbZ00000000qFUAQ
S 22.1.b.ii ,"Subject to subsections (2) and (3), registrant must not employ a person in an AL residence unless the registrant or manager, is satisfied that the person has the personality, ability and temperament necessary to provide services to residents",0eubZ00000001G4QAI,S 22.1.b.ii ,S 22.1.b.ii ,S 22.1.b.ii ,0fMbZ00000000joUAA,S 22.1.b.ii ,19pbZ00000002kzQAA,0fCbZ00000000qGUAQ
S 22.1.b.iii ,"Subject to subsections (2) & (3), must not employ a person in an AL Res unless the registrant or manager is satisfied the person has the training, experience ,qualifications & demonstrates skills, necessary to the assigned duties & responsibilities.",0eubZ00000001G5QAI,S 22.1.b.iii ,S 22.1.b.iii ,S 22.1.b.iii ,0fMbZ00000000jpUAA,S 22.1.b.iii ,19pbZ00000002kzQAA,0fCbZ00000000qHUAQ
S 22.2.a ,Registrant may employ a person without meeting subsection (1) (a) (ii) and (iii) and (b) if the registrant or manager has first met with the person and obtained a CRC and at least 2 character references.,0eubZ00000001G6QAI,S 22.2.a ,S 22.2.a ,S 22.2.a ,0fMbZ00000000jqUAA,S 22.2.a ,19pbZ00000002kzQAA,0fCbZ00000000qIUAQ
S 22.2.b ,"A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if the person will be a volunteer, and.",0eubZ00000001G7QAI,S 22.2.b ,S 22.2.b ,S 22.2.b ,0fMbZ00000000jrUAA,S 22.2.b ,19pbZ00000002kzQAA,0fCbZ00000000qJUAQ
S 22.2.c.i ,A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if  the person will not be responsible for  managing the provision of hospitality services to residents.,0eubZ00000001G8QAI,S 22.2.c.i ,S 22.2.c.i ,S 22.2.c.i ,0fMbZ00000000jsUAA,S 22.2.c.i ,19pbZ00000002kzQAA,0fCbZ00000000qKUAQ
S 22.2.c.ii ,A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if the person will not be responsible for  managing or providing assisted living services to residents.,0eubZ00000001G9QAI,S 22.2.c.ii ,S 22.2.c.ii ,S 22.2.c.ii ,0fMbZ00000000jtUAA,S 22.2.c.ii ,19pbZ00000002kzQAA,0fCbZ00000000qLUAQ
S 22.2.c.iii ,A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if  the person will not be responsible for monitoring the health and safety of residents or the operation of the assisted living residence.,0eubZ00000001GAQAY,S 22.2.c.iii ,S 22.2.c.iii ,S 22.2.c.iii ,0fMbZ00000000juUAA,S 22.2.c.iii ,19pbZ00000002kzQAA,0fCbZ00000000qMUAQ
S 22.3.a ,A registrant may employ a person without meeting the requirements of subsection (1) if  the person is providing hospitality services or assisted living services under a contract between the registrant and another person.,0eubZ00000001GBQAY,S 22.3.a ,S 22.3.a ,S 22.3.a ,0fMbZ00000000jvUAA,S 22.3.a ,19pbZ00000002kzQAA,0fCbZ00000000qNUAQ
S 22.3.b ,A registrant may employ a person without meeting the requirements of subsection (1) if  the person with whom the registrant has contracted is not an individual.,0eubZ00000001GCQAY,S 22.3.b ,S 22.3.b ,S 22.3.b ,0fMbZ00000000jwUAA,S 22.3.b ,19pbZ00000002kzQAA,0fCbZ00000000qOUAQ
S 22.3.c ,"Registrant may employ without meeting subsection (1) if  has a contract, letter or written assurance that the other person has the information & is satisfied of the matters referred to in subsection (1) in respect of the person providing services.",0eubZ00000001GDQAY,S 22.3.c ,S 22.3.c ,S 22.3.c ,0fMbZ00000000jxUAA,S 22.3.c ,19pbZ00000002kzQAA,0fCbZ00000000qPUAQ
S 22.4 ,A person employed as a manager must not be a volunteer.,0eubZ00000001GEQAY,S 22.4 ,S 22.4 ,S 22.4 ,0fMbZ00000000jyUAA,S 22.4 ,19pbZ00000002kzQAA,0fCbZ00000000qQUAQ
S 23.1a ,"Without limiting section 22 (1) [character & skill requirements], Registrant of  AL residence of SU class must not employ a person unless the person has completed a course, or a combination of courses, of at least 20 hrs duration in counselling.",0eubZ00000001GFQAY,S 23.1a ,S 23.1a ,S 23.1a ,0fMbZ00000000jzUAA,S 23.1a ,19pbZ00000002kzQAA,0fCbZ00000000qRUAQ
S 23.1b ,"Without limiting section 22 (1) [character & skill requirements], Registrant who operates an AL residence of SU class must not employ unless completed a course, or combination of courses, of at least 20 hrs duration in crisis intervention & conflict res.",0eubZ00000001GGQAY,S 23.1b ,S 23.1b ,S 23.1b ,0fMbZ00000000k0UAA,S 23.1b ,19pbZ00000002kzQAA,0fCbZ00000000qSUAQ
S 23.1c ,"Without limiting section 22 (1) [character & skill requirements], Registrant  of AL Res of SU class must not employ a person unless the person has completed a course, or combo of courses, of 20 hrs in psychosocial intervention for substance use disorders.",0eubZ00000001GHQAY,S 23.1c ,S 23.1c ,S 23.1c ,0fMbZ00000000k1UAA,S 23.1c ,19pbZ00000002kzQAA,0fCbZ00000000qTUAQ
S 23.1d ,"Without limiting section 22 (1) [character & skill requirements],Registrant of AL Res of SU class must not employ a person unless the person has completed a course, or a combination of courses, of at least 20 hrs in trauma-informed practice.",0eubZ00000001GIQAY,S 23.1d ,S 23.1d ,S 23.1d ,0fMbZ00000000k2UAA,S 23.1d ,19pbZ00000002kzQAA,0fCbZ00000000qUUAQ
S 23.2a ,"Despite subsection (1), a registrant may employ a person who does not meet the requirements of that subsectionif the person will be a volunteer to whom section 22 (2) applies, or",0eubZ00000001GJQAY,S 23.2a ,S 23.2a ,S 23.2a ,0fMbZ00000000k3UAA,S 23.2a ,19pbZ00000002kzQAA,0fCbZ00000000qVUAQ
S 23.2b.i ,"Despite subsection (1), a registrant may employ a person who does not meet the requirements of that subsectionif the person is employed for a period of no more than 3 month.",0eubZ00000001GKQAY,S 23.2b.i ,S 23.2b.i ,S 23.2b.i ,0fMbZ00000000k4UAA,S 23.2b.i ,19pbZ00000002kzQAA,0fCbZ00000000qWUAQ
S 23.2b.ii ,"Despite subsection (1), Registrant may employ a person who does not meet the requirements of that subsection if a written plan is made describing how the person will complete, within  3 month period, the course requirements referred to in that subsection.",0eubZ00000001GLQAY,S 23.2b.ii ,S 23.2b.ii ,S 23.2b.ii ,0fMbZ00000000k5UAA,S 23.2b.ii ,19pbZ00000002kzQAA,0fCbZ00000000qXUAQ
S 23.2b.iii ,"Despite subsection (1), Registrant may employ a person not meeting requirements of that subsection if the person is not re-employed by the registrant unless the person has completed course requirements within the plan referred to in subparagraph (ii).",0eubZ00000001GMQAY,S 23.2b.iii ,S 23.2b.iii ,S 23.2b.iii ,0fMbZ00000000k6UAA,S 23.2b.iii ,19pbZ00000002kzQAA,0fCbZ00000000qYUAQ
S 24.1.a,A registrant must ensure that the performance of each employee is reviewed regularly.,0eubZ00000001GNQAY,S 24.1.a,S 24.1.a,S 24.1.a,0fMbZ00000000k7UAA,S 24.1.a,19pbZ00000002kzQAA,0fCbZ00000000qZUAQ
S 24.1.b,A registrant must ensure that the registrant or manager is satisfied that the employee demonstrates the skills needed to carry out the duties that the employee is assigned.,0eubZ00000001GOQAY,S 24.1.b,S 24.1.b,S 24.1.b,0fMbZ00000000k8UAA,S 24.1.b,19pbZ00000002kzQAA,0fCbZ00000000qaUAA
S 24.2,"Employee to whom section 22 (3) applies, registrant must have a contract, letter or written assurance that the person the registrant has contracted conducts the reviews& is satisfied of matters referred to in subsection (1) in respect of the employee.",0eubZ00000001GPQAY,S 24.2,S 24.2,S 24.2,0fMbZ00000000k9UAA,S 24.2,19pbZ00000002kzQAA,0fCbZ00000000qbUAA
S 24.3,"A registrant must not permit an employee to carry out any duties for which the employee does not have the necessary training, experience, skills or qualifications.",0eubZ00000001GQQAY,S 24.3,S 24.3,S 24.3,0fMbZ00000000kAUAQ,S 24.3,19pbZ00000002kzQAA,0fCbZ00000000qcUAA
S 25.1.a ,"A registrant must make an emergency response plan that describes the procedures to be followed to prepare for, mitigate, respond to and recover from an emergency at the assisted living residence",0eubZ00000001GRQAY,S 25.1.a ,S 25.1.a ,S 25.1.a ,0fMbZ00000000kBUAQ,S 25.1.a ,19pbZ00000002kzQAA,0fCbZ00000000qdUAA
S 25.1.b ,A registrant must make an emergency response plan that describes the procedures to be followed to conduct emergency drills and the frequency with which they will be held.,0eubZ00000001GSQAY,S 25.1.b ,S 25.1.b ,S 25.1.b ,0fMbZ00000000kCUAQ,S 25.1.b ,19pbZ00000002kzQAA,0fCbZ00000000qeUAA
S 25.1.c ,A registrant must make an emergency response plan that describes the procedures to be followed to evacuate residents in an emergency including any supports residents require to evacuate or move to a safer location,0eubZ00000001GTQAY,S 25.1.c ,S 25.1.c ,S 25.1.c ,0fMbZ00000000kDUAQ,S 25.1.c ,19pbZ00000002kzQAA,0fCbZ00000000qfUAA
S 25.1.d ,A registrant must make an emergency response plan that describes a plan to ensure that residents continue to receive adequate hospitality services and assisted living services during and following an emergency.,0eubZ00000001GUQAY,S 25.1.d ,S 25.1.d ,S 25.1.d ,0fMbZ00000000kEUAQ,S 25.1.d ,19pbZ00000002kzQAA,0fCbZ00000000qgUAA
S 25.2.a ,"An emergency response plan must be reviewed and, if appropriate, revised if there is a structural change to the assisted living residence.",0eubZ00000001GVQAY,S 25.2.a ,S 25.2.a ,S 25.2.a ,0fMbZ00000000kFUAQ,S 25.2.a ,19pbZ00000002kzQAA,0fCbZ00000000qhUAA
S 25.2.b ,"An emergency response plan must be reviewed and, if appropriate, revised if  the support requirements of residents change significantly.",0eubZ00000001GWQAY,S 25.2.b ,S 25.2.b ,S 25.2.b ,0fMbZ00000000kGUAQ,S 25.2.b ,19pbZ00000002kzQAA,0fCbZ00000000qiUAA
S 25.3 ,"Registrant must ensure all employees, other than a volunteer to whom section 22 (2) [character and skill requirements] applies, are trained in the implementation of the emergency response plan, including in the use of equipment referred to in the plan.",0eubZ00000001GXQAY,S 25.3 ,S 25.3 ,S 25.3 ,0fMbZ00000000kHUAQ,S 25.3 ,19pbZ00000002kzQAA,0fCbZ00000000qjUAA
S 26.1 ,A registrant must display prominently throughout the assisted living residence evacuation procedures and a diagram of the location of emergency exits.,0eubZ00000001GYQAY,S 26.1 ,S 26.1 ,S 26.1 ,0fMbZ00000000kIUAQ,S 26.1 ,19pbZ00000002kzQAA,0fCbZ00000000qkUAA
S 26.2 ,A registrant must ensure that the assisted living residence has emergency exits and egress windows that are appropriate to resident needs and capabilities.,0eubZ00000001GZQAY,S 26.2 ,S 26.2 ,S 26.2 ,0fMbZ00000000kJUAQ,S 26.2 ,19pbZ00000002kzQAA,0fCbZ00000000qlUAA
S 26.3 ,A registrant must ensure that reliable communication equipment is accessible to all employees during an emergency.,0eubZ00000001GaQAI,S 26.3 ,S 26.3 ,S 26.3 ,0fMbZ00000000kKUAQ,S 26.3 ,19pbZ00000002kzQAA,0fCbZ00000000qmUAA
S 26.4.a.i ,"A registrant must ensure that fire protection equipment is inspected, tested and maintained, in accordance with the recommendations, if any, of the manufacture.",0eubZ00000001GbQAI,S 26.4.a.i ,S 26.4.a.i ,S 26.4.a.i ,0fMbZ00000000kLUAQ,S 26.4.a.i ,19pbZ00000002kzQAA,0fCbZ00000000qnUAA
S 26.4.a.ii ,"A registrant must ensure that fire protection equipment is inspected, tested and maintained  at least annually.",0eubZ00000001GcQAI,S 26.4.a.ii ,S 26.4.a.ii ,S 26.4.a.ii ,0fMbZ00000000kMUAQ,S 26.4.a.ii ,19pbZ00000002kzQAA,0fCbZ00000000qoUAA
S 26.4.b ,"A registrant must ensure that other emergency equipment is inspected, tested and maintained in accordance with the recommendations, if any, of the manufacturer.",0eubZ00000001GdQAI,S 26.4.b ,S 26.4.b ,S 26.4.b ,0fMbZ00000000kNUAQ,S 26.4.b ,19pbZ00000002kzQAA,0fCbZ00000000qpUAA
S 26.5 ,A registrant must conduct fire and other emergency drills at least annually.,0eubZ00000001GeQAI,S 26.5 ,S 26.5 ,S 26.5 ,0fMbZ00000000kOUAQ,S 26.5 ,19pbZ00000002kzQAA,0fCbZ00000000qqUAA
S 27.1 ,"A registrant must ensure that, at all times, an employee who holds a valid first aid and CPR certificate, provided on completing a course that meets the requirements of Schedule B, is readily accessible to residents.",0eubZ00000001GfQAI,S 27.1 ,S 27.1 ,S 27.1 ,0fMbZ00000000kPUAQ,S 27.1 ,19pbZ00000002kzQAA,0fCbZ00000000qrUAA
S 27.2 ,A registrant must have first aid supplies readily accessible to all employees.,0eubZ00000001GgQAI,S 27.2 ,S 27.2 ,S 27.2 ,0fMbZ00000000kQUAQ,S 27.2 ,19pbZ00000002kzQAA,0fCbZ00000000qsUAA
S 28.1.a ,This section applies only to registrants operating an assisted living residence of the Supportive Recovery class.,0eubZ00000001GhQAI,S 28.1.a ,S 28.1.a ,S 28.1.a ,0fMbZ00000000kRUAQ,S 28.1.a ,19pbZ00000002kzQAA,0fCbZ00000000qtUAA
S 28.1.b ,"This section applies only to registrants operating an assisted living residence of the Mental Health or Seniors and Persons with Disabilities class, if residents are at risk of experiencing opioid overdoses.",0eubZ00000001GiQAI,S 28.1.b ,S 28.1.b ,S 28.1.b ,0fMbZ00000000kSUAQ,S 28.1.b ,19pbZ00000002kzQAA,0fCbZ00000000quUAA
S 28.2 ,A registrant must make a plan describing the procedures to be followed to prevent and respond to opioid overdoses by residents.,0eubZ00000001GjQAI,S 28.2 ,S 28.2 ,S 28.2 ,0fMbZ00000000kTUAQ,S 28.2 ,19pbZ00000002kzQAA,0fCbZ00000000qvUAA
S 28.3.a ,"Without limiting section 27 [first aid], a registrant must ensure all of the following: that naloxone and related supplies are readily accessible to all employees and residents.",0eubZ00000001GkQAI,S 28.3.a ,S 28.3.a ,S 28.3.a ,0fMbZ00000000kUUAQ,S 28.3.a ,19pbZ00000002kzQAA,0fCbZ00000000qwUAA
S 28.3.b ,"Without limiting section 27 [first aid], a registrant must ensure all of the following: that all employees are trained in how to administer naloxone.",0eubZ00000001GlQAI,S 28.3.b ,S 28.3.b ,S 28.3.b ,0fMbZ00000000kVUAQ,S 28.3.b ,19pbZ00000002kzQAA,0fCbZ00000000qxUAA
S 28.3.c ,"Without limiting section 27 [first aid], a registrant must ensure all of the following: that all residents are given information respecting how to administer naloxone.",0eubZ00000001GmQAI,S 28.3.c ,S 28.3.c ,S 28.3.c ,0fMbZ00000000kWUAQ,S 28.3.c ,19pbZ00000002kzQAA,0fCbZ00000000qyUAA
S 29.1.a ,"Before accepting a person as a resident, a registrant must first be satisfied, that the person does not require care.",0eubZ00000001GnQAI,S 29.1.a ,S 29.1.a ,S 29.1.a ,0fMbZ00000000kXUAQ,S 29.1.a ,19pbZ00000002kzQAA,0fCbZ00000000qzUAA
S 29.1.b ,"Before accepting a person as a resident, Registrant must first be satisfied, that the person is not prohibited, under section 26.1 [persons not allowed to reside in an assisted living residence] of the Act, from residing in the assisted living residence.",0eubZ00000001GoQAI,S 29.1.b ,S 29.1.b ,S 29.1.b ,0fMbZ00000000kYUAQ,S 29.1.b ,19pbZ00000002kzQAA,0fCbZ00000000r0UAA
S 29.1.c.i ,"Before accepting a person as a resident, Registrant must first be satisfied, that the person may reside in the AL residence without jeopardizing the health and safety of that person or of any other resident, given that person's needs and capabilities.",0eubZ00000001GpQAI,S 29.1.c.i ,S 29.1.c.i ,S 29.1.c.i ,0fMbZ00000000kZUAQ,S 29.1.c.i ,19pbZ00000002kzQAA,0fCbZ00000000r1UAA
