Description,EffectiveFrom,Errors,ExternalId__c,Id,Name,RegulatoryAuthorityId,Subject
"A registrant must not have more units, or house more residents, than is permitted under the registrant’s registration.",2023-11-06T17:00:00.000+0000,,S 16.1,0fCAq0000000FC7MAM,S 16.1- Housing - Restrictions on housing,19pAq0000001JqDIAU,S 16.1- Housing - Restrictions on housing
A registrant must not house more residents in a unit than is consistent with protecting the health and safety of each resident.,2023-11-06T17:00:00.000+0000,,S 16.2,0fCAq0000000FC8MAM,S 16.2- Housing - Restrictions on housing,19pAq0000001JqDIAU,S 16.2- Housing - Restrictions on housing
"A registrant must ensure that the assisted living residence is in a state of good repair and is safe, clean and free of hazards.",2023-11-06T17:00:00.000+0000,,S 17.1.a,0fCAq0000000FC9MAM,S 17.1.a- Housing - Physical requirements,19pAq0000001JqDIAU,S 17.1.a- Housing - Physical requirements
A registrant must ensure that the assisted living residence  is maintained at a safe and comfortable temperature for residents.,2023-11-06T17:00:00.000+0000,,S 17.1.b,0fCAq0000000FCAMA2,S 17.1.b- Housing - Physical requirements,19pAq0000001JqDIAU,S 17.1.b- Housing - Physical requirements
A registrant must ensure that the assisted living residence is well-ventilated and has sufficient lighting in units and common areas.,2023-11-06T17:00:00.000+0000,,S 17.1.c ,0fCAq0000000FCBMA2,S 17.1.c - Housing - Physical requirements,19pAq0000001JqDIAU,S 17.1.c - Housing - Physical requirements
A registrant must ensure that the assisted living residence  has sufficient social and recreational space for residents.,2023-11-06T17:00:00.000+0000,,S 17.1.d,0fCAq0000000FCCMA2,S 17.1.d- Housing - Physical requirements,19pAq0000001JqDIAU,S 17.1.d- Housing - Physical requirements
"A registrant must ensure that residents requiring mobility aids may access, in a manner appropriate to each resident, all areas intended for use by residents.",2023-11-06T17:00:00.000+0000,,S 17.2,0fCAq0000000FCDMA2,S 17.2- Housing - Physical requirements,19pAq0000001JqDIAU,S 17.2- Housing - Physical requirements
A registrant must ensure  with respect to the assisted living residence that the premises conforms to all enactments relevant to building alterations or occupancy limits.,2023-11-06T17:00:00.000+0000,,S 17.3.a ,0fCAq0000000FCEMA2,S 17.3.a - Housing - Physical requirements,19pAq0000001JqDIAU,S 17.3.a - Housing - Physical requirements
A registrant must ensure the following with respect to the assisted living residence that each unit is or includes a bedroom that has both a door and a window.,2023-11-06T17:00:00.000+0000,,S 17.3.b ,0fCAq0000000FCFMA2,S 17.3.b - Housing - Physical requirements,19pAq0000001JqDIAU,S 17.3.b - Housing - Physical requirements
A registrant must ensure that furniture and equipment provided in common areas and units meet resident needs and capabilities.,2023-11-06T17:00:00.000+0000,,S 18.1.a ,0fCAq0000000FCGMA2,S 18.1.a - Housing - Furniture and equipment,19pAq0000001JqDIAU,S 18.1.a - Housing - Furniture and equipment
A registrant must ensure that furniture and equipment provided in common areas and units are compatible with the health and safety of residents.,2023-11-06T17:00:00.000+0000,,S 18.1.b ,0fCAq0000000FCHMA2,S 18.1.b - Housing - Furniture and equipment,19pAq0000001JqDIAU,S 18.1.b - Housing - Furniture and equipment
A registrant must ensure that furniture and equipment provided in common areas and units are in a state of good repair.,2023-11-06T17:00:00.000+0000,,S 18.1.c ,0fCAq0000000FCIMA2,S 18.1.c - Housing - Furniture and equipment,19pAq0000001JqDIAU,S 18.1.c - Housing - Furniture and equipment
"Registrant MH or SN class must provide, in each resident's unit, a lockable device for the resident to securely store money and personal property.",2023-11-06T17:00:00.000+0000,,S 18.2.a ,0fCAq0000000FCJMA2,S 18.2.a - Housing - Furniture and equipment,19pAq0000001JqDIAU,S 18.2.a - Housing - Furniture and equipment
"Registrant MH or SN class must provide, in each resident's unit, a lockable device for resident’s use to securely store money and personal property & permit furniture/equip and personal property unless it would jeopardize the H&S of others.",2023-11-06T17:00:00.000+0000,,S 18.2.b ,0fCAq0000000FCKMA2,S 18.2.b - Housing - Furniture and equipment,19pAq0000001JqDIAU,S 18.2.b - Housing - Furniture and equipment
A registrant must ensure that the assisted living residence is secured in a manner that protects residents from entry by unauthorized persons.,2023-11-06T17:00:00.000+0000,,S 19.1 ,0fCAq0000000FCLMA2,S 19.1 - Housing - Safety,19pAq0000001JqDIAU,S 19.1 - Housing - Safety
"A registrant must ensure that units are accessible in an emergency, including that locked units may be unlocked from the outside.",2023-11-06T17:00:00.000+0000,,S 19.2 ,0fCAq0000000FCMMA2,S 19.2 - Housing - Safety,19pAq0000001JqDIAU,S 19.2 - Housing - Safety
A registrant who operates an assisted living residence of the Seniors and Persons with Disabilities class must ensure that residents may lock their own units.,2023-11-06T17:00:00.000+0000,,S 19.3.a ,0fCAq0000000FCNMA2,S 19.3.a - Housing - Safety,19pAq0000001JqDIAU,S 19.3.a - Housing - Safety
"A registrant who operates an assisted living residence of the Seniors and Persons with Disabilities class must ensure that residents may lock their own units that, subject to subsection (2), residents may control access to their own units.",2023-11-06T17:00:00.000+0000,,S 19.3.b ,0fCAq0000000FCOMA2,S 19.3.b - Housing - Safety,19pAq0000001JqDIAU,S 19.3.b - Housing - Safety
A registrant must ensure that emergency exits and egress windows are not obstructed or secured in a manner that may hinder exit in an emergency.,2023-11-06T17:00:00.000+0000,,S 19.4 ,0fCAq0000000FCPMA2,S 19.4 - Housing - Safety,19pAq0000001JqDIAU,S 19.4 - Housing - Safety
A registrant must not permit a weapon within the meaning of the Criminal Code in the assisted living residence.,2023-11-06T17:00:00.000+0000,,S 19.5 ,0fCAq0000000FCQMA2,S 19.5 - Housing - Safety,19pAq0000001JqDIAU,S 19.5 - Housing - Safety
"At all times, sufficient number of employees with adequate training, experience, skills & qualifications to provide hospitality services & AL services to residents in accordance with the registrant's registration.",2023-11-06T17:00:00.000+0000,,S 20.1.a ,0fCAq0000000FCRMA2,S 20.1.a -  Employees - Must have sufficient employees,19pAq0000001JqDIAU,S 20.1.a -  Employees - Must have sufficient employees
"At all times, sufficient number of employees with adequate training, experience, skills & qualifications to provide hospitality services & AL services to residents in a manner that will not jeopardize the health and safety of residents.",2023-11-06T17:00:00.000+0000,,S 20.1.b ,0fCAq0000000FCSMA2,S 20.1.b -  Employees - Must have sufficient employees,19pAq0000001JqDIAU,S 20.1.b -  Employees - Must have sufficient employees
"A registrant must prepare an employee plan that includes a written description of the  the duties and responsibilities of the employee for each employee position, whether volunteer or staff.",2023-11-06T17:00:00.000+0000,,S 21.1.a ,0fCAq0000000FCTMA2,S 21.1.a -  Employees - Employee plan,19pAq0000001JqDIAU,S 21.1.a -  Employees - Employee plan
"A registrant must prepare an employee plan that includes a written description of all of the training, experience, skills and other qualifications the employee must have, for each employee position, whether volunteer or staff.",2023-11-06T17:00:00.000+0000,,S 21.1.b ,0fCAq0000000FCUMA2,S 21.1.b -  Employees - Employee plan,19pAq0000001JqDIAU,S 21.1.b -  Employees - Employee plan
"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, has first obtained a criminal record check for the person.",2023-11-06T17:00:00.000+0000,,S 22.1.a.i ,0fCAq0000000FCVMA2,S 22.1.a.i - Employees - Character and skill requirements,19pAq0000001JqDIAU,S 22.1.a.i - Employees - Character and skill requirements
"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, has first obtained a record of the person's work history.",2023-11-06T17:00:00.000+0000,,S 22.1.a.ii ,0fCAq0000000FCWMA2,S 22.1.a.ii - Employees - Character and skill requirements,19pAq0000001JqDIAU,S 22.1.a.ii - Employees - Character and skill requirements
"Subject to subsections (2) & (3), a registrant must not employ a person in an AL residence unless the registrant or manager, has first obtained copies of any diplomas, certificates or other evidence of training, experience, skills, & other qualifications.",2023-11-06T17:00:00.000+0000,,S 22.1.a.iii ,0fCAq0000000FCXMA2,S 22.1.a.iii - Employees - Character and skill requirements,19pAq0000001JqDIAU,S 22.1.a.iii - Employees - Character and skill requirements
"Subject to subsections (2) & (3), must not employ a person in an AL residence unless the registrant or manager, has first obtained copies of diplomas, certificates or other evidence of the person's training, experience, skills, & other qualifications.",2023-11-06T17:00:00.000+0000,,S 22.1.a.iv ,0fCAq0000000FCYMA2,S 22.1.a.iv - Employees - Character and skill requirements,19pAq0000001JqDIAU,S 22.1.a.iv - Employees - Character and skill requirements
"Subject to subsections (2) and (3), a registrant must not employ a person in an assisted living residence unless the registrant or manager, is satisfied that the person is of good character.",2023-11-06T17:00:00.000+0000,,S 22.1.b.i ,0fCAq0000000FCZMA2,S 22.1.b.i - Employees - Character and skill requirements,19pAq0000001JqDIAU,S 22.1.b.i - Employees - Character and skill requirements
"Subject to subsections (2) and (3), registrant must not employ a person in an AL residence unless the registrant or manager, is satisfied that the person has the personality, ability and temperament necessary to provide services to residents",2023-11-06T17:00:00.000+0000,,S 22.1.b.ii ,0fCAq0000000FCaMAM,S 22.1.b.ii - Employees - Character and skill requirements,19pAq0000001JqDIAU,S 22.1.b.ii - Employees - Character and skill requirements
"Subject to subsections (2) & (3), must not employ a person in an AL Res unless the registrant or manager is satisfied the person has the training, experience ,qualifications & demonstrates skills, necessary to the assigned duties & responsibilities.",2023-11-06T17:00:00.000+0000,,S 22.1.b.iii ,0fCAq0000000FCbMAM,S 22.1.b.iii - Employees - Character and skill requirements,19pAq0000001JqDIAU,S 22.1.b.iii - Employees - Character and skill requirements
Registrant may employ a person without meeting subsection (1) (a) (ii) and (iii) and (b) if the registrant or manager has first met with the person and obtained a CRC and at least 2 character references.,2023-11-06T17:00:00.000+0000,,S 22.2.a ,0fCAq0000000FCcMAM,S 22.2.a - Employees - Character and skill requirements,19pAq0000001JqDIAU,S 22.2.a - Employees - Character and skill requirements
"A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if the person will be a volunteer, and.",2023-11-06T17:00:00.000+0000,,S 22.2.b ,0fCAq0000000FCdMAM,S 22.2.b - Employees - Character and skill requirements,19pAq0000001JqDIAU,S 22.2.b - Employees - Character and skill requirements
A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if  the person will not be responsible for  managing the provision of hospitality services to residents.,2023-11-06T17:00:00.000+0000,,S 22.2.c.i ,0fCAq0000000FCeMAM,S 22.2.c.i - Employees - Character and skill requirements,19pAq0000001JqDIAU,S 22.2.c.i - Employees - Character and skill requirements
A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if the person will not be responsible for  managing or providing assisted living services to residents.,2023-11-06T17:00:00.000+0000,,S 22.2.c.ii ,0fCAq0000000FCfMAM,S 22.2.c.ii - Employees - Character and skill requirements,19pAq0000001JqDIAU,S 22.2.c.ii - Employees - Character and skill requirements
A registrant may employ a person without meeting the requirements of subsection (1) (a) (ii) and (iii) and (b) if  the person will not be responsible for monitoring the health and safety of residents or the operation of the assisted living residence.,2023-11-06T17:00:00.000+0000,,S 22.2.c.iii ,0fCAq0000000FCgMAM,S 22.2.c.iii - Employees - Character and skill requirements,19pAq0000001JqDIAU,S 22.2.c.iii - Employees - Character and skill requirements
A registrant may employ a person without meeting the requirements of subsection (1) if  the person is providing hospitality services or assisted living services under a contract between the registrant and another person.,2023-11-06T17:00:00.000+0000,,S 22.3.a ,0fCAq0000000FChMAM,S 22.3.a - Employees - Character and skill requirements,19pAq0000001JqDIAU,S 22.3.a - Employees - Character and skill requirements
A registrant may employ a person without meeting the requirements of subsection (1) if  the person with whom the registrant has contracted is not an individual.,2023-11-06T17:00:00.000+0000,,S 22.3.b ,0fCAq0000000FCiMAM,S 22.3.b - Employees - Character and skill requirements,19pAq0000001JqDIAU,S 22.3.b - Employees - Character and skill requirements
"Registrant may employ without meeting subsection (1) if  has a contract, letter or written assurance that the other person has the information & is satisfied of the matters referred to in subsection (1) in respect of the person providing services.",2023-11-06T17:00:00.000+0000,,S 22.3.c ,0fCAq0000000FCjMAM,S 22.3.c - Employees - Character and skill requirements,19pAq0000001JqDIAU,S 22.3.c - Employees - Character and skill requirements
A person employed as a manager must not be a volunteer.,2023-11-06T17:00:00.000+0000,,S 22.4 ,0fCAq0000000FCkMAM,S 22.4 - Employees - Character and skill requirements,19pAq0000001JqDIAU,S 22.4 - Employees - Character and skill requirements
"Without limiting section 22 (1) [character & skill requirements], Registrant of  AL residence of SU class must not employ a person unless the person has completed a course, or a combination of courses, of at least 20 hrs duration in counselling.",2023-11-06T17:00:00.000+0000,,S 23.1a ,0fCAq0000000FClMAM,S 23.1a - Employees - Additional requirements for Supportive Recovery class,19pAq0000001JqDIAU,S 23.1a - Employees - Additional requirements for Supportive Recovery class
"Without limiting section 22 (1) [character & skill requirements], Registrant who operates an AL residence of SU class must not employ unless completed a course, or combination of courses, of at least 20 hrs duration in crisis intervention & conflict res.",2023-11-06T17:00:00.000+0000,,S 23.1b ,0fCAq0000000FCmMAM,S 23.1b - Employees - Additional requirements for Supportive Recovery class,19pAq0000001JqDIAU,S 23.1b - Employees - Additional requirements for Supportive Recovery class
"Without limiting section 22 (1) [character & skill requirements], Registrant  of AL Res of SU class must not employ a person unless the person has completed a course, or combo of courses, of 20 hrs in psychosocial intervention for substance use disorders.",2023-11-06T17:00:00.000+0000,,S 23.1c ,0fCAq0000000FCnMAM,S 23.1c - Employees - Additional requirements for Supportive Recovery class,19pAq0000001JqDIAU,S 23.1c - Employees - Additional requirements for Supportive Recovery class
"Without limiting section 22 (1) [character & skill requirements],Registrant of AL Res of SU class must not employ a person unless the person has completed a course, or a combination of courses, of at least 20 hrs in trauma-informed practice.",2023-11-06T17:00:00.000+0000,,S 23.1d ,0fCAq0000000FCoMAM,S 23.1d - Employees - Additional requirements for Supportive Recovery class,19pAq0000001JqDIAU,S 23.1d - Employees - Additional requirements for Supportive Recovery class
"Despite subsection (1), a registrant may employ a person who does not meet the requirements of that subsectionif the person will be a volunteer to whom section 22 (2) applies, or",2023-11-06T17:00:00.000+0000,,S 23.2a ,0fCAq0000000FCpMAM,S 23.2a - Employees - Additional requirements for Supportive Recovery class,19pAq0000001JqDIAU,S 23.2a - Employees - Additional requirements for Supportive Recovery class
"Despite subsection (1), a registrant may employ a person who does not meet the requirements of that subsectionif the person is employed for a period of no more than 3 month.",2023-11-06T17:00:00.000+0000,,S 23.2b.i ,0fCAq0000000FCqMAM,S 23.2b.i - Employees - Additional requirements for Supportive Recovery class,19pAq0000001JqDIAU,S 23.2b.i - Employees - Additional requirements for Supportive Recovery class
"Despite subsection (1), Registrant may employ a person who does not meet the requirements of that subsection if a written plan is made describing how the person will complete, within  3 month period, the course requirements referred to in that subsection.",2023-11-06T17:00:00.000+0000,,S 23.2b.ii ,0fCAq0000000FCrMAM,S 23.2b.ii - Employees - Additional requirements for Supportive Recovery class,19pAq0000001JqDIAU,S 23.2b.ii - Employees - Additional requirements for Supportive Recovery class
"Despite subsection (1), Registrant may employ a person not meeting requirements of that subsection if the person is not re-employed by the registrant unless the person has completed course requirements within the plan referred to in subparagraph (ii).",2023-11-06T17:00:00.000+0000,,S 23.2b.iii ,0fCAq0000000FCsMAM,S 23.2b.iii - Employees - Additional requirements for Supportive Recovery class,19pAq0000001JqDIAU,S 23.2b.iii - Employees - Additional requirements for Supportive Recovery class
A registrant must ensure that the performance of each employee is reviewed regularly.,2023-11-06T17:00:00.000+0000,,S 24.1.a,0fCAq0000000FCtMAM,S 24.1.a- Employees - Continuing obligations,19pAq0000001JqDIAU,S 24.1.a- Employees - Continuing obligations
A registrant must ensure that the registrant or manager is satisfied that the employee demonstrates the skills needed to carry out the duties that the employee is assigned.,2023-11-06T17:00:00.000+0000,,S 24.1.b,0fCAq0000000FCuMAM,S 24.1.b- Employees - Continuing obligations,19pAq0000001JqDIAU,S 24.1.b- Employees - Continuing obligations
"Employee to whom section 22 (3) applies, registrant must have a contract, letter or written assurance that the person the registrant has contracted conducts the reviews& is satisfied of matters referred to in subsection (1) in respect of the employee.",2023-11-06T17:00:00.000+0000,,S 24.2,0fCAq0000000FCvMAM,S 24.2- Employees - Continuing obligations,19pAq0000001JqDIAU,S 24.2- Employees - Continuing obligations
"A registrant must not permit an employee to carry out any duties for which the employee does not have the necessary training, experience, skills or qualifications.",2023-11-06T17:00:00.000+0000,,S 24.3,0fCAq0000000FCwMAM,S 24.3- Employees - Continuing obligations,19pAq0000001JqDIAU,S 24.3- Employees - Continuing obligations
"A registrant must make an emergency response plan that describes the procedures to be followed to prepare for, mitigate, respond to and recover from an emergency at the assisted living residence",2023-11-06T17:00:00.000+0000,,S 25.1.a ,0fCAq0000000FCxMAM,S 25.1.a - Emergency Preparedness - Emergency response plan,19pAq0000001JqDIAU,S 25.1.a - Emergency Preparedness - Emergency response plan
A registrant must make an emergency response plan that describes the procedures to be followed to conduct emergency drills and the frequency with which they will be held.,2023-11-06T17:00:00.000+0000,,S 25.1.b ,0fCAq0000000FCyMAM,S 25.1.b - Emergency Preparedness - Emergency response plan,19pAq0000001JqDIAU,S 25.1.b - Emergency Preparedness - Emergency response plan
A registrant must make an emergency response plan that describes the procedures to be followed to evacuate residents in an emergency including any supports residents require to evacuate or move to a safer location,2023-11-06T17:00:00.000+0000,,S 25.1.c ,0fCAq0000000FCzMAM,S 25.1.c - Emergency Preparedness - Emergency response plan,19pAq0000001JqDIAU,S 25.1.c - Emergency Preparedness - Emergency response plan
A registrant must make an emergency response plan that describes a plan to ensure that residents continue to receive adequate hospitality services and assisted living services during and following an emergency.,2023-11-06T17:00:00.000+0000,,S 25.1.d ,0fCAq0000000FD0MAM,S 25.1.d - Emergency Preparedness - Emergency response plan,19pAq0000001JqDIAU,S 25.1.d - Emergency Preparedness - Emergency response plan
"An emergency response plan must be reviewed and, if appropriate, revised if there is a structural change to the assisted living residence.",2023-11-06T17:00:00.000+0000,,S 25.2.a ,0fCAq0000000FD1MAM,S 25.2.a - Emergency Preparedness - Emergency response plan,19pAq0000001JqDIAU,S 25.2.a - Emergency Preparedness - Emergency response plan
"An emergency response plan must be reviewed and, if appropriate, revised if  the support requirements of residents change significantly.",2023-11-06T17:00:00.000+0000,,S 25.2.b ,0fCAq0000000FD2MAM,S 25.2.b - Emergency Preparedness - Emergency response plan,19pAq0000001JqDIAU,S 25.2.b - Emergency Preparedness - Emergency response plan
"Registrant must ensure all employees, other than a volunteer to whom section 22 (2) [character and skill requirements] applies, are trained in the implementation of the emergency response plan, including in the use of equipment referred to in the plan.",2023-11-06T17:00:00.000+0000,,S 25.3 ,0fCAq0000000FD3MAM,S 25.3 - Emergency Preparedness - Emergency response plan,19pAq0000001JqDIAU,S 25.3 - Emergency Preparedness - Emergency response plan
A registrant must display prominently throughout the assisted living residence evacuation procedures and a diagram of the location of emergency exits.,2023-11-06T17:00:00.000+0000,,S 26.1 ,0fCAq0000000FD4MAM,S 26.1 - Emergency Preparedness - Emergency measures,19pAq0000001JqDIAU,S 26.1 - Emergency Preparedness - Emergency measures
A registrant must ensure that the assisted living residence has emergency exits and egress windows that are appropriate to resident needs and capabilities.,2023-11-06T17:00:00.000+0000,,S 26.2 ,0fCAq0000000FD5MAM,S 26.2 - Emergency Preparedness - Emergency measures,19pAq0000001JqDIAU,S 26.2 - Emergency Preparedness - Emergency measures
A registrant must ensure that reliable communication equipment is accessible to all employees during an emergency.,2023-11-06T17:00:00.000+0000,,S 26.3 ,0fCAq0000000FD6MAM,S 26.3 - Emergency Preparedness - Emergency measures,19pAq0000001JqDIAU,S 26.3 - Emergency Preparedness - Emergency measures
"A registrant must ensure that fire protection equipment is inspected, tested and maintained, in accordance with the recommendations, if any, of the manufacture.",2023-11-06T17:00:00.000+0000,,S 26.4.a.i ,0fCAq0000000FD7MAM,S 26.4.a.i - Emergency Preparedness - Emergency measures,19pAq0000001JqDIAU,S 26.4.a.i - Emergency Preparedness - Emergency measures
"A registrant must ensure that fire protection equipment is inspected, tested and maintained  at least annually.",2023-11-06T17:00:00.000+0000,,S 26.4.a.ii ,0fCAq0000000FD8MAM,S 26.4.a.ii - Emergency Preparedness - Emergency measures,19pAq0000001JqDIAU,S 26.4.a.ii - Emergency Preparedness - Emergency measures
"A registrant must ensure that other emergency equipment is inspected, tested and maintained in accordance with the recommendations, if any, of the manufacturer.",2023-11-06T17:00:00.000+0000,,S 26.4.b ,0fCAq0000000FD9MAM,S 26.4.b - Emergency Preparedness - Emergency measures,19pAq0000001JqDIAU,S 26.4.b - Emergency Preparedness - Emergency measures
A registrant must conduct fire and other emergency drills at least annually.,2023-11-06T17:00:00.000+0000,,S 26.5 ,0fCAq0000000FDAMA2,S 26.5 - Emergency Preparedness - Emergency measures,19pAq0000001JqDIAU,S 26.5 - Emergency Preparedness - Emergency measures
"A registrant must ensure that, at all times, an employee who holds a valid first aid and CPR certificate, provided on completing a course that meets the requirements of Schedule B, is readily accessible to residents.",2023-11-06T17:00:00.000+0000,,S 27.1 ,0fCAq0000000FDBMA2,S 27.1 - Emergency measures - First aid,19pAq0000001JqDIAU,S 27.1 - Emergency measures - First aid
A registrant must have first aid supplies readily accessible to all employees.,2023-11-06T17:00:00.000+0000,,S 27.2 ,0fCAq0000000FDCMA2,S 27.2 - Emergency measures - First aid,19pAq0000001JqDIAU,S 27.2 - Emergency measures - First aid
This section applies only to registrants operating an assisted living residence of the Supportive Recovery class.,2023-11-06T17:00:00.000+0000,,S 28.1.a ,0fCAq0000000FDDMA2,S 28.1.a - Emergency measures - Opioid overdoses,19pAq0000001JqDIAU,S 28.1.a - Emergency measures - Opioid overdoses
"This section applies only to registrants operating an assisted living residence of the Mental Health or Seniors and Persons with Disabilities class, if residents are at risk of experiencing opioid overdoses.",2023-11-06T17:00:00.000+0000,,S 28.1.b ,0fCAq0000000FDEMA2,S 28.1.b - Emergency measures - Opioid overdoses,19pAq0000001JqDIAU,S 28.1.b - Emergency measures - Opioid overdoses
A registrant must make a plan describing the procedures to be followed to prevent and respond to opioid overdoses by residents.,2023-11-06T17:00:00.000+0000,,S 28.2 ,0fCAq0000000FDFMA2,S 28.2 - Emergency measures - Opioid overdoses,19pAq0000001JqDIAU,S 28.2 - Emergency measures - Opioid overdoses
"Without limiting section 27 [first aid], a registrant must ensure all of the following: that naloxone and related supplies are readily accessible to all employees and residents.",2023-11-06T17:00:00.000+0000,,S 28.3.a ,0fCAq0000000FDGMA2,S 28.3.a - Emergency measures - Opioid overdoses,19pAq0000001JqDIAU,S 28.3.a - Emergency measures - Opioid overdoses
"Without limiting section 27 [first aid], a registrant must ensure all of the following: that all employees are trained in how to administer naloxone.",2023-11-06T17:00:00.000+0000,,S 28.3.b ,0fCAq0000000FDHMA2,S 28.3.b - Emergency measures - Opioid overdoses,19pAq0000001JqDIAU,S 28.3.b - Emergency measures - Opioid overdoses
"Without limiting section 27 [first aid], a registrant must ensure all of the following: that all residents are given information respecting how to administer naloxone.",2023-11-06T17:00:00.000+0000,,S 28.3.c ,0fCAq0000000FDIMA2,S 28.3.c - Emergency measures - Opioid overdoses,19pAq0000001JqDIAU,S 28.3.c - Emergency measures - Opioid overdoses
"Before accepting a person as a resident, a registrant must first be satisfied, that the person does not require care.",2023-11-06T17:00:00.000+0000,,S 29.1.a ,0fCAq0000000FDJMA2,S 29.1.a - Start of Residency - Admission screening,19pAq0000001JqDIAU,S 29.1.a - Start of Residency - Admission screening
"Before accepting a person as a resident, Registrant must first be satisfied, that the person is not prohibited, under section 26.1 [persons not allowed to reside in an assisted living residence] of the Act, from residing in the assisted living residence.",2023-11-06T17:00:00.000+0000,,S 29.1.b ,0fCAq0000000FDKMA2,S 29.1.b - Start of Residency - Admission screening,19pAq0000001JqDIAU,S 29.1.b - Start of Residency - Admission screening
"Before accepting a person as a resident, Registrant must first be satisfied, that the person may reside in the AL residence without jeopardizing the health and safety of that person or of any other resident, given that person's needs and capabilities.",2023-11-06T17:00:00.000+0000,,S 29.1.c.i ,0fCAq0000000FDLMA2,S 29.1.c.i - Start of Residency - Admission screening,19pAq0000001JqDIAU,S 29.1.c.i - Start of Residency - Admission screening
"Before accepting a person as a resident, Registrant must first be satisfied, that the person may reside in the AL residence without jeopardizing the H&S of that person or of any other resident, given the AL services provided by or through the registrant.",2023-11-06T17:00:00.000+0000,,S 29.1.c.ii ,0fCAq0000000FDMMA2,S 29.1.c.ii - Start of Residency - Admission screening,19pAq0000001JqDIAU,S 29.1.c.ii - Start of Residency - Admission screening
"Before making a Res agreement, prospective resident must be given a copy of all of the following,& inform appro to person's needs & capabilities the contents of materials given: the shared common areas policy made under s.15 [if > one class or non-res]",2023-11-06T17:00:00.000+0000,,S 30.1.a ,0fCAq0000000FDNMA2,S 30.1.a - Start of Residency - Information to prospective resident,19pAq0000001JqDIAU,S 30.1.a - Start of Residency - Information to prospective resident
